ID,Route,Scheduled Launch Time,Actual Launch Time,Arrival Time,Distance Travelled (Km),Energy Consumed (KWh),Launching SOC,Arriving SOC
204,M86-SBS,0 days 14:18:00,0 days 14:18:00,0 days 14:55:50,8.978999999999921,16.52135999999998,0.9008,0.7828
324,M23-SBS,0 days 13:36:00,0 days 13:36:00,0 days 14:56:10,15.875999999999863,29.21184000000172,0.9057,0.697
99,M14D-SBS,0 days 13:13:00,0 days 13:13:00,0 days 14:56:30,19.464999999999836,35.815600000000266,0.901,0.6452
330,M66,0 days 13:52:00,0 days 13:52:00,0 days 14:57:30,12.791999999999888,23.5372800000003,0.9049,0.7367
29,M9,0 days 12:22:00,0 days 12:22:00,0 days 14:58:00,31.811999999999784,58.53407999999959,0.9,0.4819
218,M79-SBS,0 days 13:38:00,0 days 13:38:00,0 days 14:58:00,16.258000000000024,29.91472000000222,0.9023,0.6886
299,M34A-SBS,0 days 13:58:00,0 days 13:58:00,0 days 14:58:50,11.076999999999915,20.381679999999772,0.9006,0.755
131,M42,0 days 14:13:00,0 days 14:13:00,0 days 14:59:10,7.943999999999939,14.61695999999985,0.9006,0.7962
110,M50,0 days 13:38:00,0 days 13:38:00,0 days 14:59:50,15.877999999999876,29.215520000001717,0.9057,0.697
410,M72,0 days 13:30:00,0 days 13:30:00,0 days 14:59:50,17.482999999999862,32.16871999999963,0.9001,0.6704
205,M86-SBS,0 days 14:24:00,0 days 14:24:00,0 days 15:01:50,8.978999999999921,16.52135999999998,0.9008,0.7828
375,M8,0 days 13:32:00,0 days 13:32:00,0 days 15:01:50,16.744999999999862,30.810799999999613,0.905,0.6849
237,M60-SBS,0 days 10:51:00,0 days 10:51:00,0 days 15:02:30,59.120000000008446,108.78079999999247,0.9044,0.1274
391,M57,0 days 13:42:00,0 days 13:42:00,0 days 15:02:50,14.266999999999884,26.251279999999703,0.9004,0.7129
325,M23-SBS,0 days 13:44:00,0 days 13:44:00,0 days 15:04:10,15.875999999999863,29.21184000000172,0.9057,0.697
100,M14D-SBS,0 days 13:21:00,0 days 13:21:00,0 days 15:04:30,19.464999999999836,35.815600000000266,0.901,0.6452
46,M14A-SBS,0 days 13:28:00,0 days 13:28:00,0 days 15:05:10,19.12299999999985,35.18632000000015,0.9033,0.652
282,M34-SBS,0 days 13:25:00,0 days 13:25:00,0 days 15:05:10,20.435999999999826,37.602240000000535,0.9016,0.633
157,M55,0 days 13:10:00,0 days 13:10:00,0 days 15:05:30,19.893999999999842,36.6049600000004,0.9052,0.6437
219,M79-SBS,0 days 13:46:00,0 days 13:46:00,0 days 15:06:00,16.258000000000024,29.91472000000222,0.9023,0.6886
351,M21,0 days 12:48:00,0 days 12:48:00,0 days 15:06:20,29.16299999999981,53.65992000000327,0.9067,0.5234
331,M66,0 days 14:02:00,0 days 14:02:00,0 days 15:07:30,12.791999999999888,23.5372800000003,0.9049,0.7367
206,M86-SBS,0 days 14:30:00,0 days 14:30:00,0 days 15:07:50,8.978999999999921,16.52135999999998,0.9008,0.7828
164,M12,0 days 13:00:00,0 days 13:00:00,0 days 15:09:00,26.64400000000237,49.02496000000043,0.9038,0.5536
132,M42,0 days 14:23:00,0 days 14:23:00,0 days 15:09:10,7.943999999999939,14.61695999999985,0.9006,0.7962
101,M14D-SBS,0 days 13:28:00,0 days 13:28:00,0 days 15:11:30,19.464999999999836,35.815600000000266,0.901,0.6452
181,M22,0 days 13:25:00,0 days 13:25:00,0 days 15:11:40,21.183999999999838,38.97856000000082,0.9037,0.6253
326,M23-SBS,0 days 13:52:00,0 days 13:52:00,0 days 15:12:10,15.875999999999863,29.21184000000172,0.9057,0.697
30,M9,0 days 12:37:00,0 days 12:37:00,0 days 15:13:00,31.811999999999784,58.53407999999959,0.9,0.4819
207,M86-SBS,0 days 14:36:00,0 days 14:36:00,0 days 15:13:50,8.978999999999921,16.52135999999998,0.9008,0.7828
220,M79-SBS,0 days 13:54:00,0 days 13:54:00,0 days 15:14:00,16.258000000000024,29.91472000000222,0.9023,0.6886
238,M60-SBS,0 days 11:03:00,0 days 11:03:00,0 days 15:14:30,59.120000000008446,108.78079999999247,0.9044,0.1274
411,M72,0 days 13:45:00,0 days 13:45:00,0 days 15:14:50,17.482999999999862,32.16871999999963,0.9001,0.6704
300,M34A-SBS,0 days 14:14:00,0 days 14:14:00,0 days 15:14:50,11.076999999999915,20.381679999999772,0.9006,0.755
332,M66,0 days 14:11:00,0 days 14:11:00,0 days 15:16:30,12.791999999999888,23.5372800000003,0.9049,0.7367
392,M57,0 days 13:57:00,0 days 13:57:00,0 days 15:17:50,14.266999999999884,26.251279999999703,0.9004,0.7129
115,M42,0 days 14:33:00,0 days 14:33:00,0 days 15:19:10,7.943999999999953,14.616960000000624,0.9006,0.7962
102,M14D-SBS,0 days 13:36:00,0 days 13:36:00,0 days 15:19:30,19.464999999999836,35.815600000000266,0.901,0.6452
111,M50,0 days 13:58:00,0 days 13:58:00,0 days 15:19:50,15.877999999999876,29.215520000001717,0.9057,0.697
208,M86-SBS,0 days 14:42:00,0 days 14:42:00,0 days 15:19:50,8.978999999999921,16.52135999999998,0.9008,0.7828
47,M14A-SBS,0 days 13:43:00,0 days 13:43:00,0 days 15:20:10,19.12299999999985,35.18632000000015,0.9033,0.652
