,Time (s),ID,Route,Next Stop,Current Stop,Direction,Total Distance (Km),Total Energy (KWh),SOC,At Stop,Previous Direction
20877,490,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
21297,500,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
21717,510,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
22137,520,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
22557,530,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
22977,540,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
23397,550,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
23817,560,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
24237,570,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
24657,580,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
25077,590,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
25497,600,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
25917,610,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
26337,620,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
26757,630,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
27177,640,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
27597,650,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
28017,660,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
28437,670,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
28857,680,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
29277,690,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
29697,700,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
30117,710,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
30537,720,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
30957,730,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
31377,740,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
31797,750,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
32217,760,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
32637,770,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
33057,780,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
33477,790,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
33897,800,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
34317,810,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
34737,820,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
35157,830,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
35577,840,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
35997,850,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
36417,860,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
36837,870,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
37257,880,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
37677,890,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
38097,900,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
38517,910,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
38937,920,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
39357,930,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
39777,940,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
40197,950,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
40617,960,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
41037,970,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
41457,980,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
41877,990,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
42297,1000,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
42717,1010,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
43137,1020,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
43557,1030,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
43977,1040,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
44397,1050,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
44817,1060,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
45237,1070,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
45657,1080,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
46077,1090,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
46497,1100,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
46917,1110,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
47337,1120,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
47757,1130,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
48177,1140,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
48597,1150,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
49017,1160,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
49437,1170,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
49857,1180,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
50277,1190,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
50697,1200,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
51117,1210,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
51537,1220,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
51957,1230,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
52377,1240,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
52797,1250,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
53217,1260,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
53637,1270,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
54057,1280,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
