Half_Hour,Charger 1,Charger 2,Charger 3,Charger 4,Charger 5,Charger 6,Charger 7,Charger 8,Charger 9,Charger 10,Charger 11,Charger 12,Charger 13,Charger 14,Charger 15,Charger 16,Charger 17,Charger 18,Charger 19,Charger 20,Total,Hour
6.0,410.72006382327277,454.7368958287809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,865.4569596520543,6
6.5,575.4021916324361,356.57855071091547,186.0318912482109,173.17942403175252,98.72825199185642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1389.920309615171,6
7.0,657.2118687025966,456.37933035040885,331.50351609519026,221.0408504425107,36.65346166063958,74.36578030839658,78.7836729961795,51.154923578334476,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1907.0934041342555,7
7.5,671.772615492707,546.0298541469376,346.7474154047772,388.1610560010888,200.5648679640139,215.6859436823932,36.65346166063958,89.89857972738119,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2495.5137940799395,7
8.0,566.2885999794872,447.1440439332208,487.82329738993747,414.0385700298868,248.4055845172188,227.66864841818787,177.51192498803596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2568.880669255974,8
8.5,698.6768306753792,617.1141148616766,656.7642515045807,578.180886865686,502.5782481648289,363.4574166437891,449.65279937085165,275.83974674588603,77.98892219660766,19.444444444444443,19.444444444444443,0.0,0,0,0,0,0,0,0,0,4259.142105918175,8
9.0,684.900382522219,663.4141567359263,680.5692209150216,635.8895410081359,609.9566169335503,580.4782076572633,413.86048445603376,343.56112238963624,120.13308580629857,202.37519145592884,134.57406566870293,0.0,0,0,0,0,0,0,0,0,5069.712075548716,9
9.5,670.0105463890869,709.5192915878966,648.0338499365565,610.8299050866287,658.3472324802643,496.19173548674894,501.90121700234806,364.4924311458539,213.11524568941076,294.62865184808913,244.04312619642644,0.0,0,0,0,0,0,0,0,0,5411.11323284931,9
10.0,723.89414302088,743.8658136498302,631.8104705716298,704.9797617152132,613.4390609115611,586.0676787673965,596.6833583298996,462.6984289690876,237.83749842407138,140.0760048375,78.7836729961795,0.0,0,0,0,0,0,0,0,0,5520.135892193251,10
10.5,697.616875712477,746.9788700622325,586.2294290842909,641.5877730150759,510.1546669460525,453.3526974822853,405.15629650408096,285.3260241803459,264.69352881461606,36.57243507708786,73.6796583014288,73.6866755031,0,0,0,0,0,0,0,0,4775.034930683072,10
11.0,735.470111418037,724.3203160829137,540.3351756302496,708.5252009631414,527.0230911136186,553.6306632790902,396.215557312748,286.86052203506136,100.74706172440403,164.15082292097142,75.46485432047795,0.0,0,0,0,0,0,0,0,0,4812.743376800713,11
11.5,711.6444159171308,530.2752910731012,480.46932240665853,572.3271603128944,505.05471674592167,318.6573590288525,215.6941850367068,446.8562724830971,335.4076257094092,77.92018792273139,73.6796583014288,73.6866755031,0,0,0,0,0,0,0,0,4341.672870441031,11
12.0,695.2757803106642,692.8186198706447,665.1153369689358,612.6683935990931,418.4397768069227,440.03760139759817,301.5406211775563,139.86419704637686,149.8174628958113,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4115.577790073605,12
12.5,629.845449961714,613.0718368116386,674.7181820885007,430.70508059343547,682.8956865753861,343.7571751987365,270.9889796358893,229.44278841392006,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3875.4251792792193,12
13.0,676.791588352254,677.1211933271089,632.7581316685065,591.2059019787172,561.3741474384989,469.0788117539835,206.81168261795514,118.16157389669033,80.44383305404635,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4013.746864087759,13
13.5,645.9695106452557,722.1616476235304,632.9419396550435,672.3527139656062,438.89646005194606,321.3356311852186,278.4109956364313,214.52651388234324,82.65270443391222,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4009.248117079286,13
14.0,577.5159580782013,539.4404059821355,641.0091653644012,680.0341136964827,606.3446294763281,428.609560463485,255.38495347408224,174.74496410242148,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3903.083750637538,14
14.5,676.5907255479501,676.9523092865693,644.2295241263897,486.9702014380351,587.1104148603064,402.09642330712927,352.413856502897,118.35027354679403,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3944.7137286160737,14
15.0,680.0917095170164,630.1571786596207,610.701083339526,449.35797075403815,406.6555645664948,353.1643578292388,322.8767003124343,237.3216928082323,267.13020906312545,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3957.4564668497283,15
15.5,690.5073425093989,690.4400550498785,513.3372631436071,633.8734722787791,587.8485358791229,364.5527723341495,310.22393465959686,197.27830294294264,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3988.0616787974764,15
16.0,623.5878213589214,666.7155620138573,638.02815863849,558.0442908390179,511.873533854579,361.98450815811856,486.443531301612,198.43115122148578,167.83890213654246,145.60467911656434,0.0,0.0,0,0,0,0,0,0,0,0,4358.552138639187,16
16.5,623.8329557016597,710.862811337638,637.9365271957184,648.791948055683,582.435918948062,493.697234084943,385.1594587471508,233.5926760719007,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4316.309530142757,16
17.0,719.39506021546,680.216120295245,549.8139664119066,616.3437109658244,559.1528501905335,473.2714417263523,251.36280495328234,345.0579966122692,199.32281731065325,80.44383305404635,0.0,0.0,0,0,0,0,0,0,0,0,4474.380601735574,17
17.5,695.5832551437918,628.621089329041,613.2913257814366,634.4546899843986,593.3564495555623,442.4109165207913,560.0240594408012,383.08144783540735,224.12580919768638,131.33897595023075,41.315155072316706,51.00864790466321,0,0,0,0,0,0,0,0,4998.611821716129,17
18.0,649.47115703365,560.5626963549746,600.2165485781939,542.5161202212049,521.2568418811898,486.5579012438877,484.3085555402124,313.67337615436406,361.3165677622367,160.39917971379163,153.0326032602132,41.30929655059258,0,0,0,0,0,0,0,0,4874.620844294515,18
18.5,758.714088450304,654.7192341620115,667.3995070485472,593.3675509763808,514.0823870906684,485.6025604533237,490.4959281423923,379.00827837565106,221.86814010699126,41.30929655059258,58.974424753432686,0.0,0,0,0,0,0,0,0,0,4865.541396110297,18
19.0,630.1880553997258,656.6494369371921,738.5498192442438,499.80190851422753,633.7745558517653,529.611632435032,289.79211793823123,292.3413642394218,182.32092232090986,163.50162722884647,94.15261834021922,0.0,0,0,0,0,0,0,0,0,4710.684058449814,19
19.5,598.1182671121478,643.8806600194057,529.7545133910166,715.9257762724808,627.199477627532,459.0394861000292,386.62531401739153,205.8949529387736,281.43285107848436,81.27762315241404,0.0,0.0,0,0,0,0,0,0,0,0,4529.148921709677,19
20.0,654.6627335378429,556.3534569267828,588.1556959164249,499.72673037312893,641.2961141667505,359.4989824306979,286.6136648209454,308.520909017144,129.6048315207028,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4024.4331187104226,20
20.5,703.2220025137435,604.2596318223979,622.5699806765039,603.2910326359245,560.1335907362326,364.9370762656346,336.4538787759994,196.50492300367102,73.67188544604343,41.30623128012427,0.0,0.0,0,0,0,0,0,0,0,0,4106.350233156275,20
21.0,573.4938328111651,644.9540864975177,491.1298954407929,412.08476180152024,477.900209299686,419.6395809641318,338.30805035963397,88.24089910114296,73.67188544604343,94.07653907693589,122.61084197210494,58.90668551005104,0,0,0,0,0,0,0,0,3795.0172682807242,21
21.5,621.8099762737487,584.7420215875993,682.3794121176086,599.1345794018598,443.3929833663458,329.68634491701783,309.9944959115773,126.45943246826229,72.82568326654582,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3770.424929310566,21
22.0,616.1699837856694,567.3125020489986,743.5913553968257,474.1889237453472,383.6293813332003,278.51562085123953,190.00441793442639,122.61084197210494,61.500215501995726,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3437.5232425698073,22
22.5,527.5415393787819,582.4903586641948,724.2795651587337,394.60544751123695,321.65117644111393,239.33058150071662,188.8430267144457,336.10743241792113,133.52301191376102,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3448.372139700906,22
23.0,734.6214238933536,558.8244678772023,595.0546549157252,500.2160502654796,395.18935875669035,151.1952758068422,89.58946689757798,61.500215501995726,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3086.190913914865,23
23.5,666.0408860813161,664.5800861756835,576.7652068010764,547.269445447519,295.2794044822718,226.2920575121381,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2976.2270865000046,23
24.0,631.2670219403554,655.3279300956315,560.685593841736,390.0897151078532,440.66736804986607,114.64804517373078,100.17993582171997,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2892.8656100308913,24
24.5,701.384695713031,565.3248202308381,622.4988054224622,443.9102997902356,159.51909442273072,199.47546220112415,58.87370454159569,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2750.986882322018,24
25.0,633.2573817380792,635.4309758084928,591.9011389326547,448.20068674039754,160.92482095018815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2469.715004169813,25
25.5,650.0567707143238,605.5170576686568,411.86286369066335,359.8642813417984,80.44233888441492,97.59319513959282,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2205.336507439449,25
26.0,602.8432330464788,485.094589873753,352.66524255029776,360.61334047727576,201.72129414919723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2002.937700097002,26
26.5,530.2316701059849,557.0885117303342,251.00577974071814,88.09913768364233,102.86508248470857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1529.2901817453892,26
27.0,380.2345365245722,401.5238836857456,89.5648281634693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,871.3232483737874,27
27.5,672.1187785952648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,672.1187785952648,27
28.0,526.2854452619315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,526.2854452619315,28
28.5,526.2854452619315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,526.2854452619315,28
29.0,467.95211192859813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,467.95211192859813,29
29.5,395.03544526193144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,395.03544526193144,29
