,AV U/E 35 ST,AV U/E 33 ST,AV U/FORD ST,AV U/E 27 ST,AV U/E 18 ST,AV U/E 66 ST,AV U/BURNETT ST,25 AV/84 ST,25 AV/HARWAY AV,AV U/E 56 ST,AV U/OCEAN AV,AV U/KIMBALL ST,AV U/W 9 ST,AV U/BEDFORD AV,AV U/E 71 ST,AV U/E 15 ST,AV U/E 37 ST,AV U/W 10 ST,AV U/W 8 ST,25 AV/BENSON AV,AV U/E 2 ST,AV U/MC DONALD AV,AV U/E 59 ST,AV U/VAN SICKLEN ST,AV U/E 57 ST,AV U/BATCHELDER ST,AV U/FLATBUSH AV,AV U/E 16 ST,86 ST/STILLWELL AV,AV U/E 38 ST,AV U/E 69 ST,AV U/E 28 ST,AV U/OCEAN PY,STILLWELL AV/85 ST,AV U/COYLE ST,AV U/WEST ST,AV U/W 5 ST,AV U/E 1 ST,AV U/HENDRICKSON ST,AV U/BROWN ST,AV U/E 13 ST,AV U/W 12 ST,AV U/COLEMAN ST,AV U/E 4 ST,AV U/NOSTRAND AV,AV U/W 7 ST,25 AV/86 ST,25 AV/BATH AV,AV U/CONEY ISLAND AV,AV U/MILL AV,AV U/E 54 ST,AV U/E 23 ST,AV U/E 5 ST,AV U/W 11 ST,AV U/E 64 ST,AV U/GERRITSEN AV,AV U/BRAGG ST,AV U/E 8 ST,AV U/STUART ST,Jackie Gleason Depot (JG)
AV U/WEST ST,,,,,,,,,,,,,,,,,,,,,,0.152 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/W 5 ST,,,,,,,,,,,,,,,,,,,0.25 BENSONHURST HARWAY AV via AV U,,,0.276 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 1 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,
AV U/HENDRICKSON ST,,,,,,,,,,,,0.217 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,0.586 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/BROWN ST,,,0.161 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 13 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,0.25 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,
AV U/W 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,0.113 BERGEN BEACH E 71 ST via AV U,,,,,,19.308 to depot of B3
AV U/COLEMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.871 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,
AV U/E 4 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/NOSTRAND AV,,,,0.274 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,
