,HYLAN BL/ALLENDALE RD,TOMPKINS AV/ST MARYS AV,HYLAN BL/LITTLEFIELD AV,MAIN ST/AMBOY RD,VAN DUZER ST/BEACH ST,BEACH ST/UNION PL,HYLAN BL/MIDLAND AV,HYLAN BL/ARDEN AV,ST GEORGE FERRY/ST GEORGE FERRY,HYLAN BL/BUFFALO ST,HYLAN BL/W FINGERBOARD RD,HYLAN BL/BIONIA AV,STEUBEN ST/NARROWS RD S,AMBOY RD/MAIN ST,HYLAN BL/SEAVER AV,HYLAN BL/BURBANK AV,HYLAN BL/BAY TER,VAN DUZER ST/BALTIC ST,ST PAULS AV/CEBRA AV,ST PAULS AV/VAN DUZER ST,TOMPKINS AV/HILL ST,ARTHUR KILL RD/BARNARD AV,VICTORY BL/BAY ST,HYLAN BL/MONTREAL AV,MAIN ST/HYLAN BL,HYLAN BL/BENTON AV,ST GEORGE FERRY TERMINAL,HYLAN BL/CRAIG AV,HYLAN BL/ADAMS AV,OLGA PL/HYLAN BL,HYLAN BL/LINWOOD AV,BAY ST/HANNAH ST,HYLAN BL/HUGUENOT AV,CLOVE RD/ELBE AV,HYLAN BL/GOODALL ST,HYLAN BL/REDGRAVE AV,HYLAN BL/QUINTARD ST,HYLAN BL/OLD TOWN RD,HYLAN BL/PARKINSON AV,HYLAN BL/CANNON BL,HYLAN BL/SAND LA,HYLAN BL/CURRIE AV,HYLAN BL/LINCOLN AV,BAY ST/BOROUGH PL,HYLAN BL/KENNY RD,CLOVE RD/BRITTON AV,ARTHUR KILL RD/ALLENTOWN LA,HYLAN BL/EBBITTS ST,HYLAN BL/HALES AV,HYLAN BL/STERLING AV,HYLAN BL/GREAT KILLS RD,HYLAN BL/FINGERBOARD RD,HYLAN BL/OAK AV,HYLAN BL/JACQUES AV,HYLAN BL/PIEDMONT AV,HYLAN BL/BARCLAY AV,TOMPKINS AV/BROAD ST,BAY ST/SLOSSON TER,CLOVE RD/RHINE AV,BRICKTOWN SHOPPING CENTER,ARTHUR KILL RD/YETMAN AV,HYLAN BL/TOMPKINS AV,HYLAN BL/CUNNINGHAM RD,AMBOY RD/CARTERET ST,SAND LA/HYLAN BL,HYLAN BL/HILLSIDE TER,HYLAN BL/OTIS AV,HYLAN BL/ROSE AV,HYLAN BL / NARROWS RD S,NEW DORP LA/MILL RD,HYLAN BL/WINCHESTER AV,MAIN ST/CRAIG AV,HYLAN BL/BEACH AV,HYLAN BL/SPRAGUE AV,ARTHUR KILL RD/S BRIDGE ST,HYLAN BL/BROOK AV,MIDLAND AV/BOUNDARY AV,HYLAN BL/GUYON AV,HYLAN BL/REID AV,HYLAN BL/NORWAY AV,HYLAN BL/FIELDWAY AV,HYLAN BL/WOODS OF ARDEN RD,HYLAN BL/BURGHER AV,HYLAN BL/BRIGHTON ST,HYLAN BL/HOLDRIDGE AV,HYLAN BL/SPRATT AV,HYLAN BL/BAY VIEW AV,HYLAN BL/DELAWARE AV,HYLAN BL/NELSON AV,BEACH ST/VAN DUZER ST,HYLAN BL/DONLEY AV,HYLAN BL/INEZ ST,HYLAN BL/RICHMOND AV,CANAL ST/WRIGHT ST,HYLAN BL/CROMWELL AV,TOMPKINS AV/TOWNSEND AV,CLOVE RD/GRASMERE STATION,HYLAN BL/DOLE ST,HYLAN BL/JUSTIN AV,HYLAN BL/WOODVALE AV,HYLAN BL/LIBERTY AV,ARTHUR KILL RD/FISHER AV,TOMPKINS AV/VANDERBILT AV,HYLAN BL/STEUBEN ST,LUTEN AV/EYLANDT ST,BAY ST/NICK LAPORTE PL,VAN DUZER ST/GRANT ST,HYLAN BL/CHAMPLAIN AV,ARTHUR KILL RD/WOOD AV,CLOVE RD/TARGEE ST,HYLAN BL/VAUGHN ST,HYLAN BL/TYSENS LA,HYLAN BL/KRAMER ST,HYLAN BL/ARMSTRONG AV,HYLAN BL/RENO AV,HYLAN BL/YETMAN AV,TOMPKINS AV/SAINT MARYS AV,HYLAN BL/ROSS AV,HYLAN BL/NAUGHTON AV,ST PAULS AV/PAXTON ST,MILFORD DR/OCEAN TER,HYLAN BL/LUTEN AV,HYLAN BL/COOPER AV,ARTHUR KILL RD/NASSAU PL,CANAL ST/CANAL ST,HYLAN BL/WENDY DR,HYLAN BL/BANCROFT AV,HYLAN BL/SHARROTT AV,EYLANDT ST/LUTEN AV,HYLAN BL/CHELSEA ST,HYLAN BL/CONNECTICUT AV,HYLAN BL/CORNELIA AV,HYLAN BL/CLOVE RD,HYLAN BL/BUEL AV,HYLAN BL/BEDELL AV,HYLAN BL/JOLINE AV,CLOVE RD/MILFORD DR,CRAIG AV/AMBOY RD,CLOVE RD/W FINGERBOARD RD,HYLAN BL/BAY TERRACE,HYLAN BL/SEGUINE AV,BRICKTOWN SHOPPING/CENTER,HYLAN BL/ELMTREE AV,OLGA PL/POUCH TER,ST PAULS AV/SWAN ST,HYLAN BL/BAYVIEW AV,HYLAN BL/EVERGREEN AV,BAY ST/VICTORY BL,CLOVE RD/NECKAR AV,HYLAN BL/CHESTERTON AV,HYLAN BL/NEW DORP LA,HYLAN BL/CARTERET ST,HYLAN BL/HAMDEN AV,HYLAN BL/KEEGANS LA,HYLAN BL/OSBORNE AV,HYLAN BL/ARBUTUS AV,ARTHUR KILL RD/RICHMOND VALLEY RD,HYLAN BL/POILLON AV,HYLAN BL/RICHARD AV,ARTHUR KILL RD/MAIN ST,HYLAN BL/LAMPORT BL,TOMPKINS AV/CHESTNUT AV,HYLAN BL/REYNOLDS ST,HYLAN BL/SEAVIEW AV,HYLAN BL/JEFFERSON AV,BAY ST/CENTRAL AV,HYLAN BL/LINDBERGH AV,HYLAN BL/PACIFIC AV,HYLAN BL/PAGE AV,HYLAN BL/LIPSETT AV,Charleston Depot (CH)
HYLAN BL/NELSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,
BEACH ST/VAN DUZER ST,,,,,,0.23 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/DONLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87 ST GEORGE FERRY via HYLAN,,,,,,,,
HYLAN BL/INEZ ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 ST GEORGE FERRY via HYLAN,,,,,2.315 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,0.184 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANAL ST/WRIGHT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CROMWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 BRICKTOWN MALL via HYLAN,,,,,,,
TOMPKINS AV/TOWNSEND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 BRICKTOWN MALL via HYLAN,,,,,,,,,
CLOVE RD/GRASMERE STATION,,,,,,,,,,,,1.523 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/DOLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 ST GEORGE FERRY via HYLAN,
HYLAN BL/JUSTIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/WOODVALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LIBERTY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/FISHER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,0.231 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/STEUBEN ST,0.675 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUTEN AV/EYLANDT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.679 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.622 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385 BRICKTOWN MALL via HYLAN,,,,,
VAN DUZER ST/GRANT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHAMPLAIN AV,,,,,,,,,,,,,,,,,,,,,,,,0.494 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/WOOD AV,,,,,,,,,,,,,,,,,,,,,,0.227 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/TARGEE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.643 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/VAUGHN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.469 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/TYSENS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/KRAMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/ARMSTRONG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.678 BRICKTOWN MALL via HYLAN,,,
HYLAN BL/RENO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/YETMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 ST GEORGE FERRY via HYLAN,,,,,,,,,,0.151 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/SAINT MARYS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 ST GEORGE FERRY via HYLAN,,,,,,,,,
HYLAN BL/ROSS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.586 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/NAUGHTON AV,,,,,,,,,,,,,,,0.367 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST PAULS AV/PAXTON ST,,,,,,,,,,,,,,,,,,,0.388 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILFORD DR/OCEAN TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.942 BRICKTOWN MALL via HYLAN,,,,,,,,
HYLAN BL/LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.305 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/COOPER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/NASSAU PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,
CANAL ST/CANAL ST,,,,,22.45 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/WENDY DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.809 BRICKTOWN MALL via HYLAN,,0.297 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,
HYLAN BL/BANCROFT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SHARROTT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.856 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYLANDT ST/LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.932 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHELSEA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,
HYLAN BL/CONNECTICUT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CORNELIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.812 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,1.117 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.093 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BUEL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,1.094 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BEDELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 ST GEORGE FERRY via HYLAN,,
HYLAN BL/JOLINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/MILFORD DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.336 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAIG AV/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
