,EASTCHESTER RD/NEEDHAM AV,EASTCHESTER RD/IVES ST,LACONIA AV/E 232 ST,E 233 ST/BUSSING AV,E 229 ST/SCHIEFFELIN PL,EASTCHESTER RD/WATERS PL,KATONAH AV/E 242 ST,KATONAH AV/E 239 ST,EASTCHESTER RD/HAMMERSLEY AV,E 233 ST/PAULDING AV,E 229 ST/LACONIA AV,E 225 ST/LACONIA AV,EASTCHESTER RD/WARING AV,EASTCHESTER RD/GIVAN AV,E 233 ST/GUNTHER AV,EASTCHESTER RD/PELHAM PY S,EASTCHESTER RD/E 222 ST,E 225 ST/SCHIEFFELIN AV,EASTCHESTER RD/WILKINSON AV,WILLIAMSBRIDGE RD/ST RAYMONDS AV,EASTCHESTER RD/SCHORR PL,E 233 ST/BRONX BL,E 233 ST/CARPENTER AV,EASTCHESTER RD/BASSETT AV,EASTCHESTER RD/ADEE AV,E 233 ST/WHITE PLAINS RD,EASTCHESTER RD/CHESTER ST,TREMONT AV/LANE AV,E 225 ST/SCHIEFFELIN PL,EASTCHESTER RD/BURKE AV,WILLIAMSBRIDGE RD/SILVER ST,E 229 ST/E 229 DR S,VAN CORTLANDT PK E/E 242 ST,EASTCHESTER RD/ALLERTON AV,E TREMONT AV/LANE AV,EASTCHESTER RD/BOSTON RD,E 229 ST/SCHIEFFELIN AV,LACONIA AV/E 233 ST,EASTCHESTER RD/MACE AV,KATONAH AV/E 234 ST,EASTCHESTER RD/SACKETT AV,E 233 ST/WEBSTER AV,EASTCHESTER RD/E GUN HILL RD,E 233 ST/KATONAH AV,LACONIA AV/E 225 ST,EASTCHESTER RD/ASTOR AV,EASTCHESTER RD/MORRIS PK AV,EASTCHESTER RD/PELHAM PY,KATONAH AV/E 237 ST,LACONIA AV/GRENADA PL,LACONIA AV/E 230 ST,WILLIAMSBRIDGE RD/E TREMONT AV,EASTCHESTER RD/SEMINOLE ST,WILLIAMSBRIDGE RD/EASTCHESTER RD,West Farms Depot (WF)
EASTCHESTER RD/MACE AV,,,,,,,,,,,,,0.208 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,0.268 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,
KATONAH AV/E 234 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093 WESTCHESTER SQ,,,,,0.196 WOODLAWN KATONAH AV,,,,,,
EASTCHESTER RD/SACKETT AV,,,,,,0.438 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/WEBSTER AV,,,,,,,,,,,,,,,,,,,,,,0.935 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,0.31 WOODLAWN KATONAH AV,,,,,,,,,,,
EASTCHESTER RD/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,0.213 WESTCHESTER SQ,,,,0.155 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093 WOODLAWN KATONAH AV,,0.31 WESTCHESTER SQ,,,,,,,,,,,,,
LACONIA AV/E 225 ST,,,,,,,,,,,,,,,,,0.31 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/ASTOR AV,,,,,,,,,,,,,0.156 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 WESTCHESTER SQ,,,,,,,
EASTCHESTER RD/MORRIS PK AV,,,,,,,,,,,,,,,,,,,0.203 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,0.134 WESTCHESTER SQ,,,,,,,,,,,,,,
EASTCHESTER RD/PELHAM PY,,,,,,,,,,,,,,,,0.836 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 WOODLAWN KATONAH AV,,,,,,,,,
KATONAH AV/E 237 ST,,,,,,,,0.186 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 WESTCHESTER SQ,,,,,,,,,,,,,,,
LACONIA AV/GRENADA PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,
LACONIA AV/E 230 ST,,,,,,,,,,,0.087 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/SEMINOLE ST,,,,,,,,,,,,,,,,0.251 WOODLAWN KATONAH AV,,,0.209 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/EASTCHESTER RD,,,,,,0.257 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.987 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,
