,MC CLEAN AV/SAND LA,CLOVE RD/CLOVE LAKE PARK,CLOVE RD/NIAGARA ST,RICHMOND TER/PARK AV #1,CLOVE RD/TIOGA ST,NARROWS RD N/RICHMOND RD,CLOVE RD/GRASMERE STATION,CASTLETON AV/HEBERTON AV,86 ST/FT HAMILTON PY,BROADWAY/COUGHLIN AV,NARROWS RD N/RHINE AV,PORT RICHMOND AV/HARRISON AV,CASTLETON AV/CLOVE RD,RICHMOND TER/PARK AV,BROADWAY/FOREST AV,BROADWAY/CLOVE RD,BROADWAY/DELAFIELD AV,PORT RICHMOND AV/ANN ST,PORT RICHMOND AV/BENNETT ST,CLOVE RD/VAN CORTLANDT AV,4 AV/90 ST,MC CLEAN AV/OCEAN AV,HYLAN BL/LINWOOD AV,HYLAN BL/CLOVE RD,BROADWAY/CASTLETON AV,BROADWAY/COLONIAL CT,BROADWAY/W RALEIGH AV,CLOVE RD/LITTLE CLOVE RD,CLOVE RD/BEVERLY AV,CLOVE RD/MOSEL AV,CLOVE RD/W FINGERBOARD RD,HYLAN BL/ALLENDALE RD,SAND LA/HYLAN BL,86 ST/5 AV,92 ST/GATLING PL,92 ST/FT HAMILTON PY,HYLAN BL/LAMPORT BL,CLOVE RD/SCHOHARIE ST,BROADWAY/E RALEIGH AV,CASTLETON AV/JEWETT AV,CLOVE RD/MILFORD DR,CLOVE RD/NECKAR AV,LILY POND AV/MAJOR AV,SAND LA/MCCLEAN AV,CLOVE RD/BRITTON AV,MC CLEAN AV/MILLS AV,4 AV/86 ST,MC CLEAN AV/CONGER ST,CASTLETON AV/TAYLOR ST,CASTLETON AV/CAROLINE ST,HYLAN BL/SAND LA,CLOVE RD/CHESHIRE PL,CLOVE RD/FOOTE AV,CLOVE RD/HOWARD AV,CLOVE RD/ST PETERS CEM ENT,CLOVE RD/BEMENT AV,CLOVE RD/TARGEE ST,HYLAN BL/NORWAY AV,HYLAN BL/BIONIA AV,CLOVE RD/ELBE AV,MC CLEAN AV/LILY POND AV,CASTLETON AV/BROADWAY,MC CLEAN AV/RAILROAD AV,HYLAN BL/STEUBEN ST,CLOVE RD/VICTORY BL,BROADWAY/CARY AV,CLOVE RD/RHINE AV,HYLAN BL/KRAMER ST,CASTLETON AV/ELIZABETH ST,CASTLETON AV/BARKER ST,HYLAN BL/W FINGERBOARD RD,LILY POND AV/MC CLEAN AV,Yukon Depot (YU)
CASTLETON AV/JEWETT AV,,,,,,,,0.307 PORT RICHMOND,,,,,0.299 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/MILFORD DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676 BAY RIDGE 86 ST STATION,,,,,,
CLOVE RD/NECKAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 PORT RICHMOND,,,,,,,,,,,,,,,0.15 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,
LILY POND AV/MAJOR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 PORT RICHMOND,,,,,,,,,,,,
SAND LA/MCCLEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/BRITTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,0.149 PORT RICHMOND,,,,,,,,,,,,,,,,
MC CLEAN AV/MILLS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 PORT RICHMOND,,,,0.229 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/86 ST,,,,,,,,,,,,,,,,,,,,,0.342 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC CLEAN AV/CONGER ST,,,,,,,,,,,,,,,,,,,,,,0.144 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/TAYLOR ST,,,,,,,,,,,,,0.245 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 BAY RIDGE 86 ST STATION,,,,
CASTLETON AV/CAROLINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 BAY RIDGE 86 ST STATION,,,,,,,,0.152 PORT RICHMOND,,,
HYLAN BL/SAND LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/CHESHIRE PL,,,0.335 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/FOOTE AV,,,,,0.423 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,0.185 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/HOWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,
CLOVE RD/ST PETERS CEM ENT,,,,,,,,,,0.243 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.034 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,
CLOVE RD/BEMENT AV,,0.389 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 PORT RICHMOND,,,,,,,,,,,,,,,,,,
CLOVE RD/TARGEE ST,,,,,,,,,,,0.224 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/NORWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BIONIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556 PORT RICHMOND,,,,,,,,,
