,MANHATTAN AV/INDIA ST,BROOKLYN AV/CARROLL ST,THROOP AV/LAFAYETTE AV,GRAHAM AV/DRIGGS AV,TOMPKINS AV/MARTIN L KING PL,FLUSHING AV/THROOP AV,TOMPKINS AV/HALSEY ST,BROOKLYN AV/MONTGOMERY ST,TOMPKINS AV/FULTON ST,THROOP AV/GREENE AV,MANHATTAN AV/NASSAU AV,TOMPKINS AV/GATES AV,GRAHAM AV/SEIGEL ST,EMPIRE BL/NEW YORK AV,KINGSTON AV/CARROLL ST,THROOP AV/HART ST,TOMPKINS AV/DEKALB AV,GRAHAM AV/SCHOLES ST,EMPIRE BL/BROOKLYN AV,KINGSTON AV/BERGEN ST,EMPIRE BL/BEDFORD AV,TOMPKINS AV/MYRTLE AV,MANHATTAN AV/DRIGGS AV,KINGSTON AV/PROSPECT PL,KINGSTON AV/MONTGOMERY ST,TOMPKINS AV/ELLERY ST,MANHATTAN AV/GREENPOINT AV,TOMPKINS AV/WILLOUGHBY AV,THROOP AV/HALSEY ST,BROOKLYN AV/EASTERN PY,KINGSTON AV/PACIFIC ST,THORNTON ST/THROOP AV,GRAHAM AV/JOHNSON AV,BOX ST/MANHATTAN AV,MANHATTAN AV/CALYER ST,BROOKLYN AV/UNION ST,TOMPKINS AV/PUTNAM AV,THROOP AV/GATES AV,BROOKLYN AV/ST JOHNS PL,MANHATTAN AV/MESEROLE AV,GRAHAM AV/AINSLIE ST,THROOP AV/JEFFERSON AV,MANHATTAN AV/FREEMAN ST,EMPIRE BL/NOSTRAND AV,MANHATTAN AV/NORMAN AV,GRAHAM AV/GRAND ST,THROOP AV/MADISON ST,KINGSTON AV/ATLANTIC AV,BROOKLYN AV/BERGEN ST,BROOKLYN AV/PARK PL,LINCOLN RD/FLATBUSH AV,THROOP AV/MYRTLE AV,TOMPKINS AV/LAFAYETTE AV,EMPIRE BL/LAMONT CT,GRAHAM AV/COOK ST,GRAHAM AV/MEEKER AV,GRAHAM AV/METROPOLITAN AV,EMPIRE BL/WASHINGTON AV,KINGSTON AV/UNION ST,TOMPKINS AV/GREENE AV,BROOKLYN AV/FULTON ST,GRAHAM AV/RICHARDSON ST,MANHATTAN AV/CLAY ST,MANHATTAN AV/EAGLE ST,KINGSTON AV/FULTON ST,GRAHAM AV/BROADWAY,KINGSTON AV/ST JOHNS PL,THROOP AV/MAC DONOUGH ST,DRIGGS AV/LEONARD ST,THROOP AV/PARK AV,GRAHAM AV/ENGERT AV,GRAHAM AV/BAYARD ST,TOMPKINS AV/FLUSHING AV,WASHINGTON AV/EMPIRE BL,EMPIRE BL/ROGERS AV,THROOP AV/DE KALB AV,THROOP AV/FULTON ST,BROOKLYN AV/ATLANTIC AV,GRAHAM AV/JACKSON ST,Jackie Gleason Depot (JG)
BROOKLYN AV/UNION ST,,0.193 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/PUTNAM AV,,,,,,,0.247 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROOP AV/GATES AV,,,,,,,,,,0.247 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.131 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/MESEROLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 GREENPOINT BOX ST,,,,,,,,,,0.203 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM AV/AINSLIE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,0.162 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,
THROOP AV/JEFFERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/FREEMAN ST,0.217 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPIRE BL/NOSTRAND AV,,,,,,,,,,,,,,1.036 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.569 LEFFERTS GARDENS PROSPECT PK STA,,,,,
MANHATTAN AV/NORMAN AV,,,,,,,,,,,0.201 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM AV/GRAND ST,,,,,,,,,,,,,,,,,,0.32 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,0.162 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROOP AV/MADISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 GREENPOINT BOX ST,,,,,,,,,,,,,,,
BROOKLYN AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN AV/PARK PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN RD/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,12.743 to depot of B43
THROOP AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 GREENPOINT BOX ST,,,,,,,,,,
TOMPKINS AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,
EMPIRE BL/LAMONT CT,,,,,,,,,,,,,,,,,,,,,,,,,0.221 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM AV/COOK ST,,,,,,,,,,,,,0.238 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,0.316 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM AV/MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,0.112 GREENPOINT BOX ST,,,,,,,,
GRAHAM AV/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.522 GREENPOINT BOX ST,
EMPIRE BL/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,0.332 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 GREENPOINT BOX ST,,,,,,,,,,,,,
TOMPKINS AV/GREENE AV,,,,,,,,,,,,0.247 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.116 LEFFERTS GARDENS PROSPECT PK STA,,
GRAHAM AV/RICHARDSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 LEFFERTS GARDENS PROSPECT PK STA,
MANHATTAN AV/CLAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 GREENPOINT BOX ST,,,,,,,,,0.238 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/EAGLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,
KINGSTON AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087 GREENPOINT BOX ST,,,
GRAHAM AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,0.295 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROOP AV/MAC DONOUGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
