,CONEY ISLAND AV/CATON PL,CONEY ISLAND AV/AV R,CONEY ISLAND AV/AV V,STILLWELL TERMINAL BUS LOOP,CONEY ISLAND AV/AV T,WEST BRIGHTON AV/W 5 ST,CONEY ISLAND AV/AV X,CONEY ISLAND AV/OCEAN VIEW AV,CONEY ISLAND AV/CHESTNUT AV,CONEY ISLAND AV/AV I,BRIGHTON BEACH AV/BRIGHTON 5 ST,CONEY ISLAND AV/NEWKIRK AV,CONEY ISLAND AV/NEPTUNE AV,CONEY ISLAND AV/AV H,CONEY ISLAND AV/AV Z,CONEY ISLAND AV/DORCHESTER RD,CONEY ISLAND AV/AV P,WEST BRIGHTON AV/W 2 ST,CONEY ISLAND AV/AV S,NEPTUNE AV/SHELL RD,CONEY ISLAND AV/KINGS HY,BRIGHTON BEACH AV/BRIGHTON 3 ST,PROSPECT PK SW/BARTEL PRITCHARD SQ,NEPTUNE AV/W 12 ST,PROSPECT PK SW/REEVE PL,NEPTUNE AV/W 6 ST,W 5 ST/NEPTUNE AV,CONEY ISLAND AV/FOSTER AV,CONEY ISLAND AV/AV U,CONEY ISLAND AV/CATON AV,CONEY ISLAND AV/AV K,CONEY ISLAND AV/AV W,BRIGHTON BEACH AV/OCEAN PY,NEPTUNE AV/W 8 ST,PROSPECT PK SW/10 AV,NEPTUNE AV/W 5 ST,CONEY ISLAND AV/AV M,BRIGHTON BEACH AV/BRIGHTON 1 PL,BRIGHTON BEACH AV/BRIGHTON 6 ST,CONEY ISLAND AV/GRAVESEND NECK RD,CONEY ISLAND AV/AV C,NEPTUNE AV/STILLWELL AV,CONEY ISLAND AV/AV J,CONEY ISLAND AV/AV N,STILLWELL AV/NEPTUNE AV,CONEY ISLAND AV/PARK CI,PROSPECT PK SW/TERRACE PL,CONEY ISLAND AV/AV Y,CONEY ISLAND AV/CORTELYOU RD,BRIGHTON BEACH AV/CONEY ISLAND AV,WEST BRIGHTON AV/OCEAN PY,CONEY ISLAND AV/BRIGHTON BEACH AV,W 5 ST/W BRIGHTON AV,CONEY ISLAND AV/DITMAS AV,CONEY ISLAND AV/SLOCUM PL,CONEY ISLAND AV/AV L,W BRIGHTON AV/W 2 ST,CONEY ISLAND AV/BEVERLEY RD,CONEY ISLAND AV/18 AV,PROSPECT PK SW/11 AV,CONEY ISLAND AV/CHURCH AV,CONEY ISLAND AV/GUIDER AV,PROSPECT PK SW/VANDERBILT ST,PROSPECT PK SW/GREENWOOD AV,CONEY ISLAND AV/AV O,STILLWELL/TERMINAL,Jackie Gleason Depot (JG)
PROSPECT PK SW/REEVE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382 CONEY ISLAND STILLWELL AV via C I AV,,,
NEPTUNE AV/W 6 ST,,,,,,,,,,,,,,,,,,,,0.141 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,0.251 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 5 ST/NEPTUNE AV,,,,,,0.372 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/FOSTER AV,,,,,,,,,,,,0.439 WINDSOR TERR PRITCHARD SQ via C I AV,,0.33 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV U,,,0.227 CONEY ISLAND STILLWELL AV via C I AV,,0.267 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/CATON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,0.246 CONEY ISLAND STILLWELL AV via C I AV,,,,,,
CONEY ISLAND AV/AV K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,2.172 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,
CONEY ISLAND AV/AV W,,,,,,,1.033 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/OCEAN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,0.823 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,
NEPTUNE AV/W 8 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT PK SW/10 AV,,,,,,,,,,,,,,,,,,,,,,,0.38 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,
NEPTUNE AV/W 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/BRIGHTON 1 PL,,,,,,,,,,,,,,,,,,,,,,0.542 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,0.681 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/BRIGHTON 6 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,
CONEY ISLAND AV/GRAVESEND NECK RD,,,0.2 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,
NEPTUNE AV/STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,0.161 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV J,,,,,,,,,,0.851 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,0.278 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV N,,,,,,,,,0.237 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458 CONEY ISLAND STILLWELL AV via C I AV,,
STILLWELL AV/NEPTUNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 CONEY ISLAND STILLWELL AV via C I AV,
CONEY ISLAND AV/PARK CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.349 WINDSOR TERR PRITCHARD SQ via C I AV,,,
PROSPECT PK SW/TERRACE PL,,,,,,,,,,,,,,,,,,,,,,,,,0.28 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,
CONEY ISLAND AV/AV Y,,,,,,,1.478 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,0.998 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/CORTELYOU RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634 CONEY ISLAND STILLWELL AV via C I AV,0.304 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,
BRIGHTON BEACH AV/CONEY ISLAND AV,,,,,,,,,,,0.77 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST BRIGHTON AV/OCEAN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/BRIGHTON BEACH AV,,,,,,,,0.252 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 5 ST/W BRIGHTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/DITMAS AV,,,,,,,,,,,,,,,,0.37 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,
CONEY ISLAND AV/SLOCUM PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,
CONEY ISLAND AV/AV L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.184 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,1.647 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W BRIGHTON AV/W 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,
CONEY ISLAND AV/BEVERLEY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,0.313 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,
CONEY ISLAND AV/18 AV,,,,,,,,,,,,0.174 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT PK SW/11 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,0.298 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,
CONEY ISLAND AV/GUIDER AV,,,,,,,,,,,,,0.149 CONEY ISLAND STILLWELL AV via C I AV,,0.474 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT PK SW/VANDERBILT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,
PROSPECT PK SW/GREENWOOD AV,0.845 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 WINDSOR TERR PRITCHARD SQ via C I AV,,,,
CONEY ISLAND AV/AV O,,,,,,,,,,,,,,,,,0.299 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL/TERMINAL,,,,0.0 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,2.854 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
