,PARK AV/RYERSON ST,CLASSON AV/PARK AV,JACKSON AV/21 ST,MANHATTAN AV/DRIGGS AV,BEDFORD AV/N 5 ST,DRIGGS AV/N 6 ST,DRIGGS AV/UNION AV,GOLD ST/SANDS ST,JACKSON AV/43 AV,DRIGGS AV/GRAND ST,KENT AV/HOOPER ST,DRIGGS AV/BROADWAY,WYTHE AV/KEAP ST,BEDFORD AV/BROADWAY,DIVISION AV/DRIGGS AV,MC GUINNESS BL/FREEMAN ST,DRIGGS AV/N 11 ST,BOERUM PL/SCHERMERHORN ST,JAY ST/TILLARY ST,ROEBLING ST/S 8 ST,YORK AV/NAVY ST,28 ST/QUEENS PZ S,PARK AV/NAVY ST,PARK AV/VANDERBILT AV,NAVY ST/SANDS ST,BEDFORD AV/LORIMER ST,HAVEMEYER ST/DIVISION AV,MANHATTAN AV/MESEROLE AV,BEDFORD AV/N 12 ST,GOLD ST/YORK ST,BEDFORD AV/N 3 ST,MCGUINNESS BL/FREEMAN ST,JACKSON AV/THOMSON AV,BEDFORD AV/N 9 ST,GOLD ST/TILLARY ST,MANHATTAN AV/FREEMAN ST,BEDFORD AV/N 8 ST,JACKSON AV/23 ST,MANHATTAN AV/GREENPOINT AV,WYTHE AV/WILLIAMSBURG ST W,MANHATTAN AV/INDIA ST,BROADWAY/ROEBLING ST,NAVY ST/NASSAU ST,KENT AV/WILLIAMSBURG ST E,JACKSON AV/QUEENS PZ S,MANHATTAN AV/CALYER ST,DIVISION AV/BERRY ST,BEDFORD AV/S 2 ST,PARK AV/CARLTON AV,JAY ST/WILLOUGHBY ST,BEDFORD AV/S 4 ST,SMITH ST/LIVINGSTON ST,NAVY ST/PARK AV,BEDFORD AV/MANHATTAN AV,GREEN ST/MANHATTAN AV,DRIGGS AV/N 9 ST,PARK AV/N PORTLAND ST,BEDFORD AV/GRAND ST,11 ST/JACKSON AV,MANHATTAN AV/NORMAN AV,PARK AV/WASHINGTON AV,DRIGGS AV/S 2 ST,CLASSON AV/FLUSHING AV,DIVISION AV/LEE AV,WYTHE AV/CLYMER ST,JACKSON AV/47 AV,JACKSON AV/45 AV,DRIGGS AV/N 4 ST,JACKSON AV/PULASKI BR,WYTHE AV/ROSS ST,TILLARY ST/JAY ST,DRIGGS AV/S 4 ST,YORK ST/GOLD ST,JACKSON AV/DAVIS ST,MANHATTAN AV/NASSAU AV,42 RD/28 ST,JAY ST/FULTON ST,Jackie Gleason Depot (JG)
HAVEMEYER ST/DIVISION AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/MESEROLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,0.203 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,
BEDFORD AV/N 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.415 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD ST/YORK ST,,,,,,,,0.172 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/N 3 ST,,,,,0.165 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCGUINNESS BL/FREEMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON AV/THOMSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481 L I CITY QUEENS PLAZA,,
BEDFORD AV/N 9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD ST/TILLARY ST,,,,,,,,0.421 L I CITY QUEENS PLAZA,,,,,,,,,,,1.285 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/FREEMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/N 8 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON AV/23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,
MANHATTAN AV/GREENPOINT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 L I CITY QUEENS PLAZA,,,,,0.243 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/WILLIAMSBURG ST W,0.971 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/INDIA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,0.137 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ROEBLING ST,,,,,,,,,,,,,,0.31 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVY ST/NASSAU ST,,,,,,,,,,,,,,,,,,,,,,,0.191 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENT AV/WILLIAMSBURG ST E,,,,,,,,,,,0.161 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON AV/QUEENS PZ S,,,,,,,,,0.357 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/CALYER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,0.243 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISION AV/BERRY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 L I CITY QUEENS PLAZA,0.373 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,
BEDFORD AV/S 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,
PARK AV/CARLTON AV,,,,,,,,,,,,,,,,,,,,,,,,0.479 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,
JAY ST/WILLOUGHBY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/S 4 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/LIVINGSTON ST,,,,,,,,,,,,,,,,,,0.223 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.156 to depot of B62
NAVY ST/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,0.883 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/MANHATTAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,
GREEN ST/MANHATTAN AV,,,,,,,,,,,,,,,,0.29 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIGGS AV/N 9 ST,,,,,,0.237 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK AV/N PORTLAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 L I CITY QUEENS PLAZA,,,,0.664 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/GRAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 ST/JACKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/NORMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 DOWNTOWN BKLYN FULTON MALL,,,
PARK AV/WASHINGTON AV,0.198 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,0.288 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIGGS AV/S 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 DOWNTOWN BKLYN FULTON MALL,,,,,,
CLASSON AV/FLUSHING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISION AV/LEE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/CLYMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,0.248 DOWNTOWN BKLYN FULTON MALL,,,,,,,,
JACKSON AV/47 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,
JACKSON AV/45 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIGGS AV/N 4 ST,,,,,,,,,,0.212 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON AV/PULASKI BR,,,0.36 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/ROSS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,0.248 L I CITY QUEENS PLAZA,,,,,,,,,,,,,
TILLARY ST/JAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIGGS AV/S 4 ST,,,,,,,,,,,,0.177 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORK ST/GOLD ST,,,,,,,,,,,,,,,,,,,,,,,,,0.35 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON AV/DAVIS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/NASSAU AV,,,,0.193 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 RD/28 ST,,,,,,,,,,,,,,,,,,,,,,5.543 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512 L I CITY QUEENS PLAZA,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.994 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,
