,BAYCHESTER AV/N.E. THRUWAY EXIT,BRUCKNER BL/HAVEMEYER AV,BRUCKNER BL/MIDDLETOWN RD,STORY AV/SOUNDVIEW AV,PARKING RAMP/ACCESS RD,BRUCKNER BL/BUHRE AV,BRUCKNER BL/LOGAN AV,STORY AV/BOYNTON AV,WHITE PLAINS RD/STORY AV,"BRUCKNER BL/ST JOSEPH""S WAY",TURNBULL AV/ PUGSLEY AV,STORY AV/NOBLE AV,STORY AV/BRONX RIVER AV,BAY PLAZA BL/CO-OP CITY BL,CASTLE HILL AV/HERMANY AV,CASTLE HILL AV/TURNBULL AV,BRUCKNER BL/GIFFORD AV,STORY AV/METCALF AV,LAFAYETTE AV/OLMSTEAD AV,SOUTHERN BL/WESTCHESTER AV,BRUCKNER BL/KEARNEY AV,STORY AV/THIERIOT AV,CASTLE HILL AV/QUIMBY AV,SOUTHERN BL/ALDUS ST,MACDONOUGH PL/COUNTRY CLUB RD,BRUCKNER BL/WILKINSON AV,BRUCKNER BL/CASTLE HILL AV,CASTLE HILL AV/BRUCKNER BL,HUNTS POINT AV/SOUTHERN BL,BRONX RIVER AV/BRUCKNER BL,WESTCHESTER AV/BRUCKNER BL,BRUCKNER BL/ROBERTS AV,BRUCKNER BL/CODDINGTON AV,BRUCKNER BL/BAISLEY AV,STORY AV/ROSEDALE AV,EDSON AV/BARTOW AV,STORY AV/FTELEY AV,BRUCKNER BL/E TREMONT AV,STORY AV/COLGATE AV,BRUCKNER BL/ZEREGA AV,BRUCKNER BL/CROSBY AV,BRUCKNER BL/HUNTINGTON AV,BRUCKNER BL/JARVIS AV,STORY AV/MORRISON AV,E 163 ST/SOUTHERN BL,WHITE PLAINS RD/LAFAYETTE AV,STORY AV/ELDER AV,LAFAYETTE AV/WHITE PLAINS RD,LAFAYETTE AV/PUGSLEY AV,STORY AV/UNDERHILL AV,CHARLES CRIMI RD/SUBWAY OVERPASS,STORY AV/BOLTON AV,BRUCKNER BL/WILLOW LA,STORY AV/TAYLOR AV,STORY AV/EVERGREEN AV,West Farms Depot (WF)
HUNTS POINT AV/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX RIVER AV/BRUCKNER BL,,,,,,,,,,,,,0.232 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.799 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,
WESTCHESTER AV/BRUCKNER BL,,,,,31.176 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/ROBERTS AV,,,4.128 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/CODDINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/BAISLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,
STORY AV/ROSEDALE AV,,,,0.047 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 BAY PLAZA via STORY AV via BRUCKNER BL,,
EDSON AV/BARTOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,2.016 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/FTELEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,
BRUCKNER BL/E TREMONT AV,,,,,,,0.249 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,0.396 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/COLGATE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,
BRUCKNER BL/ZEREGA AV,,,,,,,,,,0.729 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
