,ARTHUR KILL RD/OPP ASPEN KNOLLS,BROADWAY/BROOME ST,WOODROW RD/BOULDER ST,RICHMOND AV/TRAVIS AV,MARSH AV/RING RD,ARTHUR KILL RD/ARDEN AV,TRINITY PL/RECTOR ST,MARSH AV/ELMWOOD PK DR,BROADWAY/W HOUSTON ST,BROADWAY/BARCLAY ST,W 57 ST/AV OF THE AMERICAS,RICHMOND AV/NOME AV,5 AV/W 32 ST,ARTHUR KILL RD/1547 ARTHUR KILL RD,ARDEN AV/HAMPTON GREEN,RICHMOND AV/LANDER AV,CHURCH ST/FULTON ST,ARDEN AV/WOODROW RD,MADISON AV/E 47 ST,5 AV/W 48 ST,BROADWAY/RECTOR ST,RICHMOND AV/MERRILL AV,AV OF THE AMERICAS/WAVERLY PL,MARSH AV/WESTPORT ST,CHURCH ST/CHAMBERS ST,RICHMOND AV/LAMBERTS LA,BROADWAY/WAVERLY PL,RICHMOND AV/FOREST HILL RD,AV OF THE AMERICAS/W 15 ST,WOODROW RD/VINELAND AV,5 AV/W 40 ST,ARTHUR KILL RD/ST JOHN NEWMANN,AV OF THE AMERICAS/W BROADWAY,BROADWAY/CHAMBERS ST,CENTRAL PARK S/6 AV,RICHMOND AV/VICTORY BL,WOODROW RD/HOLCOMB AV,RICHMOND AV/RIVINGTON AV,5 AV/E 55 ST,PARK AV SOUTH/E 22 ST,ARDEN AV/ARTHUR KILL RD,ANNADALE RD/TOKEN ST,MADISON AV/E 41 ST,E 23 ST/BROADWAY,RICHMOND AV/SIGNS RD,BROADWAY/MORRIS ST,BROADWAY/CORTLANDT ST,RICHMOND AV/DRAPER PL S,ELTINGVILLE/TRANSIT CENTER,CHURCH ST/WORTH ST,RICHMOND AV/MORANI ST,AV OF THE AMERICAS/PRINCE ST,RICHMOND AV/YUKON AV,ARTHUR KILL RD/WOODROW RD,BROADWAY/E 13 ST,WOODROW RD/ALMOND ST,RICHMOND AV/YONA AV,WOODROW RD/CANTON AV,GREENWICH ST/BATTERY PL,MADISON AV/E 54 ST,RICHMOND HILL RD/VASSAR ST,MADISON AV/E 34 ST,DRUMGOOLE RD W/ ANNADALE RD,LAMBERTS LA/ RICHMOND AV,MARSH AV/WINDHAM LOOP,Charleston Depot (CH)
RICHMOND AV/RIVINGTON AV,,,,9.325 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.216 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,
5 AV/E 55 ST,,,,,,,,,,,,,,,,,,,,0.571 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK AV SOUTH/E 22 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.031 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,
ARDEN AV/ARTHUR KILL RD,,,,,,,,,,,,,,,0.569 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/TOKEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,
MADISON AV/E 41 ST,,,,,,,,,,,,,,,,,,,0.543 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 23 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,0.966 MIDTOWN via CHURCH ST via MADISON AV,,,,
RICHMOND AV/SIGNS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16 MIDTOWN via CHURCH ST via MADISON AV,,9.963 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MORRIS ST,,,,,,,,,,,,,,,,,,,,,,,,,,24.834 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/CORTLANDT ST,,,,,,,,,,,,,,,,,,,,,0.297 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/DRAPER PL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.306 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.556 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.342 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,
CHURCH ST/WORTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,
AV OF THE AMERICAS/PRINCE ST,,,,,,,,,,,,,,,,,,,,,,,0.701 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.165 MIDTOWN via CHURCH ST via MADISON AV,
ARTHUR KILL RD/WOODROW RD,0.467 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.518 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,
BROADWAY/E 13 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/ALMOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,
RICHMOND AV/YONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 MIDTOWN via CHURCH ST via MADISON AV,,
WOODROW RD/CANTON AV,,,0.63 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENWICH ST/BATTERY PL,,,,,,,0.376 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.044 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND HILL RD/VASSAR ST,,,,,0.787 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,0.816 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,
DRUMGOOLE RD W/ ANNADALE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,
LAMBERTS LA/ RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.876 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,,,0.398 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,
Charleston Depot (CH),,,5.256 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
