,GREENPOINT AV/LEONARD ST,METROPOLITAN AV/UNION AV,QUEENS MIDTOWN EXP/48 ST,GREENPOINT AV/MANHATTAN AV,GREENPOINT AV/44 ST,GREENPOINT AV/FRANKLIN ST,KINGSLAND AV/MASPETH AV,48 ST/BKLYN-QUEENS EXPWY,GREENPOINT AV/38TH ST,MEEKER AV/HAUSMAN ST,GREENPOINT AV/GALE AV,GREENPOINT AV/JEWEL ST,KINGSLAND AV/LOMBARDY ST,GREENPOINT AV/N HENRY ST,GREENPOINT AV/MC GUINESS BL,RODNEY ST/GRAND ST,GREENPOINT AV/42 ST,GREENPOINT AV/BRADLEY AV,48 ST/50 AV,METROPOLITAN AV/GRAHAM AV,GREENPOINT AV/39 PL,WOODPOINT RD\CONSELYEA ST,GREENPOINT AV/46 ST,GREENPOINT AV/47 ST,GREENPOINT AV/STARR AV,CHERRY ST/VANDERVOORT AV,BROADWAY/MARCY AV,WEST ST/KENT ST,GREENPOINT AV/43 ST,GREENPOINT AV/KINGSLAND AV,GREENPOINT AV/REVIEW AV,GREENPOINT AV/48 AV,MEEKER AV/MORGAN AV,GREENPOINT AV/BORDEN AV,48 ST/47 ST,47 AV/48 ST,RODNEY ST/S 3 ST,GREENPOINT AV/39TH ST,48 ST/48 AV,GREENPOINT AV/HUNTERS PT AV,GREENPOINT AV/HUMBOLDT ST,GREENPOINT AV/PROVOST ST,MARCY AV/S 2 ST,VAN DAM ST/REVIEW AV,KINGSLAND AV/RICHARDSON ST,MEEKER AV/KINGSLAND AV,RODNEY ST/S 5 ST,GREENPOINT AV/40TH ST,BKLYN-QUEENS EXPWY/48TH ST,WASHINGTON PL/LANE 6,47 ST/GREENPOINT AV,48 ST/47 AV,RODNEY ST/AINSLIE ST,METROPOLITAN AV/MACRI SQ,BKLYN-QUEENS EXPWY/45TH ST,KINGSLAND AV/SKILLMAN AV,KINGSLAND AV/HERBERT ST,METROPOLITAN AV/LEONARD ST,MARCY AV/METROPOLITAN AV,KINGSLAND AV/WITHERS ST,METROPOLITAN AV/LORIMER ST,Jackie Gleason Depot (JG)
GREENPOINT AV/HUNTERS PT AV,,,,,,,,,,,0.264 GREENPOINT WEST ST,,,,,,,,,,0.403 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/HUMBOLDT ST,,,,,,,,,,,,,,0.168 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/PROVOST ST,,,,,,,,,,,,,,,0.224 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCY AV/S 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DAM ST/REVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSLAND AV/RICHARDSON ST,,,,,,,,,,,,,0.269 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEEKER AV/KINGSLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 WILLIAMSBURG BRIDGE PLZ,,,,,
RODNEY ST/S 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/40TH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,
BKLYN-QUEENS EXPWY/48TH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 WILLIAMSBURG BRIDGE PLZ,,,,,,,
WASHINGTON PL/LANE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.634 to depot of B24
47 ST/GREENPOINT AV,,,,,0.29 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 ST/47 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,
RODNEY ST/AINSLIE ST,,0.222 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/MACRI SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 WILLIAMSBURG BRIDGE PLZ,,,
BKLYN-QUEENS EXPWY/45TH ST,,,,,,,,,,2.081 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSLAND AV/SKILLMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 GREENPOINT WEST ST,,
KINGSLAND AV/HERBERT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 WILLIAMSBURG BRIDGE PLZ,,
METROPOLITAN AV/LEONARD ST,,,,,,,,,,,,,,,,,,,,0.309 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 WILLIAMSBURG BRIDGE PLZ,
MARCY AV/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,
KINGSLAND AV/WITHERS ST,,,,,,,0.221 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,
METROPOLITAN AV/LORIMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 WILLIAMSBURG BRIDGE PLZ,,,,0.162 GREENPOINT WEST ST,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.903 GREENPOINT WEST ST,,,,,,,,,,,,
