,HILLSIDE AV/171 ST,HILLSIDE AV/212 ST,HILLSIDE AV/211 ST,HILLSIDE AV/207 ST,SUTPHIN BL/89 AV,HILLSIDE AV/175 ST,HILLSIDE AV/191 ST,HILLSIDE AV/248 ST,HILLSIDE AV/161 ST,HILLSIDE AV/205 ST,HILLSIDE AV/239 ST,HILLSIDE AV/202 ST,HILLSIDE AV/SPRINGFIELD BL,HILLSIDE AV/FRANCIS LEWIS BL,HILLSIDE AV/198 ST,SUTPHIN BL/JAMAICA AV,HILLSIDE AV/268 ST,HILLSIDE AV/165 ST,HILLSIDE AV/258 ST,HILLSIDE AV/172 ST,HILLSIDE AV/CREEDMOORE HOSPITAL,SUTPHIN BL/90 AV,HILLSIDE AV/193 ST,HILLSIDE AV/EDGERTON BL,HILLSIDE AV/261 ST,HILLSIDE AV/266 ST,HILLSIDE AV/162 ST,HILLSIDE AV/164 ST,HILLSIDE AV/168 ST,HILLSIDE AV/88 AV,HILLSIDE AV/150 ST,HILLSIDE AV/264 ST,HILLSIDE AV/PARSONS BL,ARCHER AV/SUTPHIN BL,HILLSIDE AV/169 ST,HILLSIDE AV/243 ST,HILLSIDE AV/214 ST,HILLSIDE AV/187 ST,HILLSIDE AV/267 ST,HILLSIDE AV/199 ST,HILLSIDE AV/RANGE ST,HILLSIDE AV/MANOR RD,HILLSIDE AV/163 ST,HILLSIDE AV/CROSS ISLAND PY,HILLSIDE AV/184 ST,HILLSIDE AV/180 ST,HILLSIDE AV/231 ST,HILLSIDE AV/251 ST,HILLSIDE AV/179 ST SUBWAY,ARCHER AV/SUTPHIN PL,HILLSIDE AV/259 ST,HILLSIDE AV/188 ST,HILLSIDE AV/241 ST,HILLSIDE AV/CREEDMORE HOSPITAL,HILLSIDE AV/210 ST,HILLSIDE AV/189 ST,HILLSIDE AV/WINCHESTER BL,SUTPHIN BL/HILLSIDE AV,HILLSIDE AV/182 PL,HILLSIDE AV/215 PL,HILLSIDE AV/COMMONWEALTH BL,HILLSIDE AV/240 ST,HILLSIDE AV/209 ST,HILLSIDE AV/256 ST,HILLSIDE AV/AVON ST,HILLSIDE AV/195 PL,HILLSIDE AV/166 ST,HILLSIDE AV/229 ST,HILLSIDE AV/218 ST,HILLSIDE AV/LITTLE NECK PY,College Point Depot (CP)
HILLSIDE AV/RANGE ST,,,,,,,,,,,,,,,,,,,,,0.165 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,
HILLSIDE AV/MANOR RD,,,,,,,,,,,,,0.25 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/163 ST,,,,,,,,,,,,,,,,,,1.003 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/CROSS ISLAND PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,
HILLSIDE AV/184 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,
HILLSIDE AV/231 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,0.242 JAMAICA LIRR STATION via HILLSIDE,,,
HILLSIDE AV/251 ST,,,,,,,,0.253 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.043 FLORAL PARK 268 ST via HILLSIDE,
HILLSIDE AV/179 ST SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,0.23 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/SUTPHIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/259 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.137 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/188 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/241 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/CREEDMORE HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
