,18 AV/62 ST,FT HAMILTON PKWY/MARINE AV,CROPSEY AV/BAY 17 ST,FT HAMILTON PKY/95 ST,18 AV/E 2 ST,CHURCH AV/ROCKAWAY PY,VA HOSPITAL/MAIN ENT BAY 1,FOSTER AV/RUGBY RD,CHURCH AV/E 93 ST,CROPSEY AV/16 AV,18 AV/E 3 ST,VA HOSPITAL/MAIN ENT BAY 2,AV D/E 48 ST,FOSTER AV/OCEAN AV,AV D/E 40 ST,FOSTER AV/CONEY ISLAND AV,FOSTER AV/ROGERS AV,AV D/BROOKLYN AV,18 AV/E 8 ST,CHURCH AV/E 94 ST,AV D/E 39 ST,REMSEN AV/AV B,18 AV/60 ST,ROCKAWAY AV/HEGEMAN AV,CROPSEY AV/BAY 7 ST,AV D/E 53 ST,AV D/NOSTRAND AV,18 AV/57 ST,18 AV/70 ST,REMSEN AV/AV A,7 AV/POLY PL,AV D/E 35 ST,CROPSEY AV/VETERANS HOSPITAL,CROPSEY AV/15 AV,92 ST/GATLING PL,CHURCH AV/REMSEN AV,NOSTRAND AV/NEWKIRK AV,FOSTER AV/E 18 ST,CROPSEY AV/14 AV,AV B/REMSEN AV,AV D/E 52 ST,AV D/E 31 ST,18 AV/47 ST,CROPSEY AV/OPP VA HOSPITAL,18 AV/OCEAN PY,BEVERLY RD/KINGS HY,18 AV/66 ST,AV D/SCHENECTADY AV,REMSEN AV/CHURCH AV,AV D/E 46 ST,AV B/E 87 ST,18 AV/64 ST,18 AV/50 ST,BEVERLY RD/E 58 ST,AV D/E 37 ST,18 AV/45 ST,AV D/E 45 ST,AV D/E 38 ST,AV D/NEW YORK AV,FOSTER AV/E 22 ST,18 AV/86 ST,92 ST/7 AV,CROPSEY AV/17 AV,ROGERS AV/FOSTER AV,BEVERLY RD/RALPH AV,18 AV/77 ST,92 ST/FT HAMILTON PY,FOSTER AV/BEDFORD AV,18 AV/85 ST,18 AV/MC DONALD AV,18 AV/58 ST,18 AV/82 ST,4 AV/95 ST,18 AV/53 ST,FOSTER AV/MARLBOROUGH RD,18 AV/E 5 ST,AV D/KINGS HY,KINGS HY/BEVERLY RD,LINDEN BL/ROCKAWAY PY,HEGEMAN AV/THOMAS S BOYLAND ST,18 AV/BAY RIDGE PY,18 AV/49 ST,18 AV/BATH AV,KINGS HY/AV D,18 AV/NEW UTRECHT AV,FOSTER AV/FLATBUSH AV,KINGS HY/CLARENDON RD,AV D/E 43 ST,18 AV/81 ST,CHURCH AV/E 96 ST,FOSTER AV/E 16 ST,18 AV/84 ST,18 AV/CROPSEY AV,4 AV/97 ST,E 98 ST/CHURCH AV,BEVERLY RD/E 57 ST,CONEY ISLAND AV/18 AV,4 AV/92 ST,18 AV/72 ST,18 AV/52 ST,7 AV/POLY PREP ENT,18 AV/68 ST,AV D/E 42 ST,FOSTER AV/ARGYLE RD,7 AV/92 ST,18 AV/CONEY ISLAND AV,AV D/UTICA AV,POLY PL/7 AV,BEVERLY RD/E 59 ST,AV D/ROGERS AV,AV B/RALPH AV,18 AV/55 ST,92 ST/FT HAMILTON PARKWAY,18 AV/BENSON AV,CONEY ISLAND AV/NEWKIRK AV,FOSTER AV/E 29 ST,18 AV/79 ST,LINDEN BL/THOMAS BOYLAND ST,Jackie Gleason Depot (JG)
92 ST/FT HAMILTON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,
FOSTER AV/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/85 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/MC DONALD AV,,,,,,,,,,,0.198 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/58 ST,,,,,,,,,,,,,,,,,,,,,,,0.117 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/82 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/95 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/MARLBOROUGH RD,,,,,,,,0.086 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/E 5 ST,,,,,0.285 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/KINGS HY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/BEVERLY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/ROCKAWAY PY,,,,,,,,,0.541 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGEMAN AV/THOMAS S BOYLAND ST,,,,,,,,,,,,,,,,,,,,,,,,0.225 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/BAY RIDGE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.641 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,
18 AV/49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,0.08 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/BATH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,0.238 BROWNSVILLE ROCKAWAY AV,,,,,
KINGS HY/AV D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/NEW UTRECHT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 BROWNSVILLE ROCKAWAY AV,,,,0.115 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/CLARENDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 BROWNSVILLE ROCKAWAY AV,,,,,,0.51 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 43 ST,,,,,,,,,,,,,,,0.21 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 BROWNSVILLE ROCKAWAY AV,,
CHURCH AV/E 96 ST,,,,,,0.663 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/E 16 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/CROPSEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/97 ST,,0.241 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVERLY RD/E 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,
CONEY ISLAND AV/18 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 BROWNSVILLE ROCKAWAY AV,,,,
4 AV/92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 BAY RIDGE 95 ST STA,,,,,,,
7 AV/POLY PREP ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,
18 AV/68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,0.829 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/ARGYLE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,
18 AV/CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,0.217 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/UTICA AV,,,,,,,,,,,,,0.797 BAY RIDGE 95 ST STA,,,,,,,,,,,,,0.767 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLY PL/7 AV,,,,,,,0.419 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVERLY RD/E 59 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068 BROWNSVILLE ROCKAWAY AV,,,,,,,,
AV D/ROGERS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV B/RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/55 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 BAY RIDGE 95 ST STA,,,0.157 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 ST/FT HAMILTON PARKWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,
18 AV/BENSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/NEWKIRK AV,,,,,,,,,,,,,,,,0.173 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 BAY RIDGE 95 ST STA,,,,,,,,,,,,,
FOSTER AV/E 29 ST,,,,,,,,,,,,,,,,,0.162 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088 BROWNSVILLE ROCKAWAY AV,,,,,,0.303 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/THOMAS BOYLAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.489 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
