,BELL BL/28 AV,NORTHERN BL/192 ST,BELL BL/32 AV,39 AV /138 ST,BELL BL/33 AV,NORTHERN BL/172 ST,NORTHERN BL/165 ST,NORTHERN BL/154 ST,NORTHERN BL/212 ST,NORTHERN BL/204 ST,NORTHERN BL/169 ST,BELL BL/36 AV,BELL BL/42 AV,BELL BL/38 AV,NORTHERN BL/196 ST,BELL BL/212 ST,NORTHERN BL/146 ST,UNION AV/NORTHERN BL,NORTHERN BL/159 ST,NORTHERN BL/UTOPIA PY,NORTHERN BL/PARSONS BL,TOTTEN AV/CROSS ISLAND PY,BELL BL/14 AV,NORTHERN BL/CORPORAL KENNEDY ST,NORTHERN BL/STATION RD,BELL BL/24 AV,NORTHERN BL/ROOSEVELT AV,NORTHERN BL/171 ST,NORTHERN BL/157 ST,TOTTEN AV /CROSS ISLAND PKY,NORTHERN BL/189 ST,NORTHERN BL/150 ST,NORTHERN BL/AUBURNDALE LA,BELL BL/39 AV,BELL BL/41 AV,NORTHERN BL/CLEARVIEW EP,UNION ST/NORTHERN BL,NORTHERN BL/167 ST,NORTHERN BL/194 ST,BELL BL/35 AV,BELL BL/29 AV,NORTHERN BL/BOWNE ST,NORTHERN BL/FRANCIS LEWIS BL,NORTHERN BL/211 ST,BELL BL/40 AV,NORTHERN BL/168 ST,NORTHERN BL/MURRAY ST,NORTHERN BL/166 ST,NORTHERN BL/202 ST,BELL BL/16 AV,BELL BL/23 AV,NORTHERN BL/190 ST,BELL BL/18 AV,BELL BL/43 AV,NORTHERN BL/161 ST,NORTHERN BL/147 ST,BELL BL/NORTHERN BL,BELL BL/33 RD,NORTHERN BL/163 ST,NORTHERN BL/149 ST,College Point Depot (CP)
BELL BL/39 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/41 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 FLUSHING MAIN ST STATION,,,,,,,
NORTHERN BL/CLEARVIEW EP,,,,,,,,,,4.063 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,4.691 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION ST/NORTHERN BL,,,,0.878 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/167 ST,,,,,,,0.179 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/194 ST,,0.134 FLUSHING MAIN ST STATION,,,,,,,,,,,,,0.664 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/35 AV,,,,,,,,,,,,,,0.256 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.471 FORT TOTTEN,,,
BELL BL/29 AV,0.193 FORT TOTTEN,,0.187 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/BOWNE ST,,,,,,,,,,,,,,,,,,,,,0.172 FORT TOTTEN,,,,,,,,,,,,,,,,1.181 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/FRANCIS LEWIS BL,,,,,,,,,,,,,,,0.412 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 FORT TOTTEN,,,,,,,,,,,,
NORTHERN BL/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 FORT TOTTEN,,,,
BELL BL/40 AV,,,,,,,,,,,,,,0.292 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/MURRAY ST,,,,,,,,0.271 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,0.189 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/166 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 FORT TOTTEN,,,,,,,,,,,,,,,
NORTHERN BL/202 ST,,,,,,,,,,0.146 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,
BELL BL/16 AV,,,,,,,,,,,,,,,,,,,,,,,0.315 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 FLUSHING MAIN ST STATION,,,,,,,,
BELL BL/23 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.423 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 FORT TOTTEN,,,,,,,,
NORTHERN BL/190 ST,,0.161 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/18 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 FORT TOTTEN,0.18 FLUSHING MAIN ST STATION,,,,,,,,,,
BELL BL/43 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437 FLUSHING MAIN ST STATION,,,,
NORTHERN BL/161 ST,,,,,,,,,,,,,,,,,,,0.383 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/147 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471 FORT TOTTEN,
BELL BL/NORTHERN BL,,,,,,,,,0.198 FLUSHING MAIN ST STATION,,,,0.323 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/33 RD,,,,,23.182 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.848 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 FORT TOTTEN,,,,,,,,,,,,,
NORTHERN BL/149 ST,,,,,,,,,,,,,,,,,0.291 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,0.185 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,2.568 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
