,HENRY HUDSON PKY E/W 239 ST,BROADWAY/W 192 ST,BROADWAY/EXTERIOR ST,BROADWAY/W 170 ST,BROADWAY/W 196 ST,BROADWAY/ISHAM ST-W 211 ST,ST NICHOLAS AV/W 167 ST,RIVERDALE AV/GREYSTONE AV,HENRY HUDSON PKY W/W 252 ST,HENRY HUDSON PKY E/W 252 ST,W 231 ST/CORLEAR AV,W 231 ST/TIBBETT AV,BROADWAY/RIVERSIDE DR,BROADWAY/W 173 ST,BROADWAY/DONGAN PL,HENRY HUDSON PKY W/W 246 ST,BROADWAY/W 185 ST,BROADWAY/W 189 ST,BROADWAY/W 218 ST,BROADWAY/W 213 ST,BROADWAY/W 220 ST,BROADWAY/W 225 ST,HENRY HUDSON PKY W/W 249 ST,BROADWAY/W 175 ST,BROADWAY/W 228 ST,W 239 ST/RIVERDALE AV,BROADWAY/FAIRVIEW AV,RIVERDALE AV/W 256 ST,BROADWAY/W 204 ST,BROADWAY/ARDEN ST,RIVERDALE AV/W 254 ST,RIVERDALE AV/W 261 ST,RIVERDALE AV/W 236 ST,BROADWAY/ISHAM ST,BROADWAY/W 187 ST,W 231 ST/BROADWAY,BROADWAY/W 215 ST,W 231 ST/KINGSBRIDGE AV,BROADWAY/W 190 ST,BROADWAY/W 176 ST,BROADWAY/W 171 ST,BROADWAY/W 183 ST,BROADWAY/DYCKMAN ST,BROADWAY/W 193 ST,RIVERDALE AV/W 238 ST,BROADWAY/SHERMAN AV,BROADWAY/W 174 ST,W 230 ST/BROADWAY,BROADWAY/W 168 ST,BROADWAY/BENNETT AV,BROADWAY/W 181 ST,HENRY HUDSON PKY E/W 246 ST,BROADWAY/W 207 ST,BROADWAY/W 178 ST,HENRY HUDSON PKY E/W 250 ST,RIVERDALE AV/W 260 ST,KINGSBRIDGE AV/W 230 ST,RIVERDALE AV/W 259 ST,BROADWAY/W 172 ST,RIVERDALE AV/W 263 ST,W 231 ST/RIVERDALE AV,BROADWAY/ACADEMY ST,Kingsbridge Depot (KB)
BROADWAY/W 183 ST,,,,,,,,,,,,,,,,,0.152 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/DYCKMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 RIVERDALE 263 ST,
BROADWAY/W 193 ST,,,,,0.277 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 238 ST,0.228 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/SHERMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,0.332 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,
BROADWAY/W 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,
W 230 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,0.217 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 168 ST,,,,,,,0.299 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/BENNETT AV,,0.178 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 RIVERDALE 263 ST,,,,,,,,,,,,0.34 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,
HENRY HUDSON PKY E/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 RIVERDALE 263 ST,,,,,,,,
BROADWAY/W 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,0.371 RIVERDALE 263 ST,,,,,,,,,,,,
HENRY HUDSON PKY E/W 250 ST,,,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 260 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,
KINGSBRIDGE AV/W 230 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,
RIVERDALE AV/W 259 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 RIVERDALE 263 ST,,,,,,,
BROADWAY/W 172 ST,,,,0.16 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/RIVERDALE AV,,,,,,,,,,,0.183 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ACADEMY ST,,,,,,,,,,,,,0.29 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,0.167 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsbridge Depot (KB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
