,FOREST AV/SHARON AV,FOREST AV/GRANDVIEW AV,VICTORY BL/AUSTIN PL,FOREST AV/AMITY PL,ARLINGTON PL/SOUTH AV,RICHMOND TER/FEDERAL PL,FOREST AV/HAVEN ESPLANADE,FOREST AV/JEWETT AV,FOREST AV/HARBOR PLAZA,FOREST AV/VICTORY BL,FOREST AV/LIVERMORE AV,FOREST AV/BARD  AV,SOUTH AV/CABLE WAY,SOUTH AV/RICHMOND TER,VICTORY BL / BAY ST,FOREST AV/ELIZABETH ST,FOREST AV/HAMLIN PL,FOREST AV/SANDERS ST,FOREST AV/RAYMOND PL,FOREST AV/SILVER LAKE PK,ARLINGTON PL/HOLLAND AV,FOREST AV/CLOVE RD,VICTORY BL/ BROOK ST,VICTORY BL/FREMONT ST,ST GEORGE FERRY/S48 & S98,ARLINGTON PL/NORTHFIELD AV,FOREST AV/RICHMOND AV,VICTORY BL/VAN DUZER ST,FOREST AV/BARRETT  AV,SOUTH AV/ARLINGTON PL,SOUTH AV/NETHERLAND AV,HOLLAND AV/BENJAMIN PL,FOREST AV/DECKER AV,FOREST AV/WILLOW RD W,VICTORY BL/WOODSTOCK AV,FOREST AV/VAN PELT AV,BAY ST/CENTRAL AV,FOREST AV/BURNSIDE AV,FOREST AV/CRYSTAL AV,VICTORY BL/CEBRA AV,FOREST AV/BEMENT AV,FOREST AV/HARBOR RD,VICTORY BL/JERSEY ST,FOREST AV/WALBROOKE AV,RICHMOND TER/ARLINGTON AV,FOREST AV/BRIGHTON AV,FOREST AV/WILLOW RD E,FOREST AV/BROADWAY,FOREST AV / LAWRENCE AV,FOREST AV/UNIVERSITY PL,FOREST AV/OXFORD PL,FOREST AV/WILLOWBROOK RD,ST GEORGE FERRY/ST GEORGE FERRY,FOREST AV/STAPLES,VICTORY BL/MONTGOMERY AV,FOREST AV/HART BL,FOREST AV/MANOR RD,FOREST AV/DUBOIS AV,FOREST AV/BARD AV,FOREST AV/SOUTH AV,FOREST AV/N BURGHER AV,FOREST AV/MARIANNE ST,FOREST AV/UNION AV,FOREST AV/PELTON AV,FOREST AV/SIMONSON AV,SOUTH AV/BRABANT ST,FOREST AV/MAPLE PY,FOREST AV/EUNICE PL,BAY ST/SLOSSON TE,FOREST AV/RANDALL AV,BAY ST/BOROUGH PL,BAY ST/NICK LAPORTE PL,Yukon Depot (YU)
FOREST AV/VAN PELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,
BAY ST/CENTRAL AV,,,,,,,,,,,,,,,0.153 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/BURNSIDE AV,,,,,,,,,,,,,,,,,0.231 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/CRYSTAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,
VICTORY BL/CEBRA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 ARLINGTON HOLLAND AV via FOREST,,,,,,,,0.258 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/BEMENT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 ARLINGTON HOLLAND AV via FOREST,,,0.196 ST GEORGE FERRY via FOREST,,,,,,,,,
FOREST AV/HARBOR RD,,,,,,,,,0.271 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/JERSEY ST,,,,,,,,,,,,,,,,,,,,,,,0.331 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,0.258 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/WALBROOKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.025 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,
RICHMOND TER/ARLINGTON AV,,,,,,,,,,,,,,0.129 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/BRIGHTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 ARLINGTON HOLLAND AV via FOREST,,,
FOREST AV/WILLOW RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/BROADWAY,,,,,,,,,,,,,,,,0.245 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 ST GEORGE FERRY via FOREST,,,,,,,,,,,,
FOREST AV / LAWRENCE AV,,,,,,,,,,,,0.454 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/UNIVERSITY PL,,,,,,,,,,,,,,,,,,,,2.944 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/OXFORD PL,,,,,,,0.313 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/WILLOWBROOK RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,0.085 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/STAPLES,,,,,,,,,,,0.162 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MONTGOMERY AV,,,,,,,,,,,,,,,,,,,,,,,,0.326 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/HART BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 ARLINGTON HOLLAND AV via FOREST,,,,,,0.088 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/MANOR RD,,,,,,,,,,,,,,,,,,,0.547 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,
FOREST AV/DUBOIS AV,,,,,,,,0.259 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,
FOREST AV/BARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,
