,PARKSIDE AV/FLATBUSH AV,CLARKSON AV/ALBANY AV,CLARKSON AV/BEDFORD AV,SARATOGA AV/PITKIN AV,CLARKSON AV/E 39 ST,EAST NEW YORK AV/SARATOGA AV,ALABAMA AV / FULTON ST,CLARKSON AV/NEW YORK AV,EAST NEW YORK AV/E 92 ST,PITKIN AV/HOWARD AV,ALBANY AV/FENIMORE ST,EAST NEW YORK AV/STERLING PL,FULTON ST/ALABAMA AV,EAST NEW YORK AV/E 96 ST,NEW YORK AV/LINCOLN PL,LEFFERTS AV/SCHENECTADY AV,SACKMAN ST/DEAN ST,EAST NEW YORK AV/E 95 ST,WOODRUFF AV/OCEAN AV,ALBANY AV/CLARKSON AV,TROY AV/EAST NEW YORK AV,ALBANY AV/RUTLAND RD,ALBANY AV/HAWTHORNE ST,ALBANY AV/EAST NEW YORK AV,CLARKSON AV/ROGERS AV,SCHENECTADY AV/LEFFERTS AV,PARKSIDE AV/OCEAN AV,EAST NEW YORK AV/PORTAL ST,CLARKSON AV/FLATBUSH AV,EAST NEW YORK AV/MOTHER GASTON BL,EAST NEW YORK AV/STRAUSS ST,CLARKSON AV/KINGS CNTY HOS MAIN,EAST NEW YORK AV/ROCKAWAY PY,EMPIRE BL/UTICA AV,EAST NEW YORK AV/JUNIUS ST,PACIFIC ST/EAST NEW YORK AV,EAST NEW YORK AV/ALBANY AV,EAST NEW YORK AV/UNION ST,CLARKSON AV/NOSTRAND AV,EAST NEW YORK AV/ST MARKS AV,CLARKSON AV/E 38 ST,ALBANY AV/MAPLE ST,EAST NEW YORK AV/TROY AV,EAST NEW YORK AV/MONTGOMERY ST,ALBANY AV/WINTHROP ST,EAST NEW YORK AV/RALPH AV,EAST NEW YORK AV/BRISTOL ST,EAST NEW YORK AV/E 94 ST,ALBANY AV/MIDWOOD ST,PARKSIDE AV/BEDFORD AV,EAST NEW YORK AV/ROCKAWAY AV,EAST NEW YORK AV/AMBOY ST,EAST NEW YORK AV/SACKMAN ST,Jackie Gleason Depot (JG)
EAST NEW YORK AV/ROCKAWAY PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.673 EAST NEW YORK ALABAMA AV,,,,,,,,
EMPIRE BL/UTICA AV,,,,,,,,,0.182 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,0.269 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/JUNIUS ST,,,,,,,,,,,,,1.524 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACIFIC ST/EAST NEW YORK AV,,,,,,,,,,,,,,,,,0.171 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/ALBANY AV,,,,,,,,,,,,,,,,,,,,,1.907 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/UNION ST,,,,,,,,,,0.17 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKSON AV/NOSTRAND AV,,,,,,,,0.251 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,0.245 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/ST MARKS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 LEFFERTS GARDENS OCEAN AV,,,
CLARKSON AV/E 38 ST,,,,,,,,,,,,,,,,,,,,0.523 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY AV/MAPLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/TROY AV,,,,,,,,,,,,,,,,,,,,,,,,0.186 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/MONTGOMERY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,
ALBANY AV/WINTHROP ST,,0.194 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,0.087 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,0.087 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,
EAST NEW YORK AV/BRISTOL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 EAST NEW YORK ALABAMA AV,,,
EAST NEW YORK AV/E 94 ST,,,,,,,,,,,,,,0.163 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY AV/MIDWOOD ST,,,,,,,,,,,0.159 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKSIDE AV/BEDFORD AV,,,0.092 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/ROCKAWAY AV,,,,,,,,,,,,0.323 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,0.286 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/AMBOY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 EAST NEW YORK ALABAMA AV,,,,,,,
EAST NEW YORK AV/SACKMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.323 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,4.299 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
