,EAST NEW YORK AV/RALPH AV,BROADWAY/JEFFERSON ST,RALPH AV/BAINBRIDGE ST,RALPH AV/CLARENDON RD,RALPH AV/AV L,AV U/E 56 ST,RALPH AV/JEFFERSON AV,RALPH AV/FOSTER AV,RALPH AV/ST JOHNS PL,RALPH AV/CHASE CT,RALPH AV/HERKIMER ST,CLARKSON AV/E 91 ST,RALPH AV/MILL AV,CLARKSON AV/E 92 ST,RALPH AV/SNYDER AV,REMSEN AV/LENOX RD,RALPH AV/BROADWAY,ROCKAWAY PY/WINTHROP ST,MARCUS GARVEY BLVD/BROADWAY,RALPH AV/AV K,RALPH AV/GATES AV,RALPH AV/FARRAGUT RD,E 98 ST/SUTTER AV.,RALPH AV/STERLING PL,MILL AV/AV U,RALPH AV/MACON ST,CLARKSON AV/REMSEN AV,RALPH AV/PROSPECT PL,MARCUS GARVEY BL/BROADWAY,RALPH AV/ATLANTIC AV,REMSEN AV/KINGS HY,RALPH AV/AV M,BROADWAY/MYRTLE AV,RUTLAND RD/E 98 ST,RALPH AV/E 88 ST,MILL AV/AV T,E 98 ST/BLAKE AV,RALPH AV/ST MARKS AV,RALPH AV/E 76 ST,BROADWAY/KOSSUTH PL,RALPH AV/DEAN ST,RALPH AV/FLATLANDS AV,CLARKSON AV/E 94 ST,RALPH AV/MADISON ST,BROADWAY/PARK ST,RALPH AV/DECATUR ST,BROADWAY/LAFAYETTE AV,AV U/E 59 ST,REMSEN AV/LINDEN BL,RALPH AV/EASTERN PKWY N,RALPH AV/PACIFIC ST,MILL AV/RALPH AV,RALPH AV/BEVERLY RD,BROADWAY/LAWTON ST,RALPH AV/TILDEN AV,RALPH AV/BERGEN ST,RALPH AV/E 86 ST,BROADWAY/GREENE AV,RALPH AV/HALSEY ST,RALPH AV/CHURCH AV,BROADWAY/MALCOLM X BL,BROADWAY/WILLOUGHBY AV,RALPH AV/MC DONOUGH ST,RALPH AV/PUTNAM AV,AV U/E 57 ST,RALPH AV/EASTERN PY,BROADWAY/ARION PL,RALPH AV/GLENWOOD RD,ROCKAWAY PY/CLARKSON AV,RALPH AV/CHAUNCEY ST,REMSEN AV/LENOX ROAD,RALPH AV/AV J,WINTHROP ST/ROCKAWAY PY,BROADWAY/DE KALB AV,RALPH AV/FULTON ST,RALPH AV/AV B,RALPH AV/HANCOCK ST,RALPH AV/E 65 ST,RALPH AV/AV N,CLARKSON AV/E 96 ST,BROADWAY/PARK AV,AV U/E 54 ST,RALPH AV/SUMPTER ST,Jackie Gleason Depot (JG)
MILL AV/AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,0.319 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/MACON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKSON AV/REMSEN AV,,,,,,,,,,,,,,0.164 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/PROSPECT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/BROADWAY,,,,,,,,,,,,,,,,,,,0.312 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,
REMSEN AV/KINGS HY,,,,,,,,,,,,,,,,0.175 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/AV M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 KINGS PLAZA via RALPH AV,,,,,
BROADWAY/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,
RUTLAND RD/E 98 ST,,,,,,,,,,,,,,,,,,0.744 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/E 88 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,
MILL AV/AV T,,,,,,,,,,,,,0.23 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,0.129 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/BLAKE AV,,,,,,,,,,,,,,,,,,,,,,,0.2 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/ST MARKS AV,,,,,,,,,,,,,,,,,,,,,,,,0.287 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/E 76 ST,,,,,,,,,,,,,,,,,,,,,,0.134 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/KOSSUTH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,
RALPH AV/DEAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/FLATLANDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,0.417 KINGS PLAZA via RALPH AV,,,,,,,,,,,,
CLARKSON AV/E 94 ST,,,,,,,,,,,,0.237 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,
RALPH AV/MADISON ST,,,,,,,0.165 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/PARK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/DECATUR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,
BROADWAY/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 59 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.319 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,
REMSEN AV/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/EASTERN PKWY N,0.172 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/PACIFIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL AV/RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/BEVERLY RD,,,,0.238 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LAWTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/TILDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 KINGS PLAZA via RALPH AV,,,0.088 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/GREENE AV,,,,,,,,,,,,,,,,,,,,,0.304 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,0.268 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/HALSEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.084 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,
RALPH AV/CHURCH AV,,,,,,,,,,,,,,,0.292 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 KINGS PLAZA via RALPH AV,,,,,,,,,,
BROADWAY/WILLOUGHBY AV,,0.285 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/MC DONOUGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/PUTNAM AV,,,,,,,,,,,,,,,,,,,,,0.246 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 57 ST,,,,,,0.632 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/EASTERN PY,,,,,,,,,0.168 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ARION PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,0.275 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY PY/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.684 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,10.684 to depot of B47
