,UTOPIA PKY/ST. JOHNS UNIVERSITY,JAMAICA AV/153 ST,JAMAICA AV/162 ST,UTOPIA PY/65 AV,JAMAICA AV/GUY R BREWER BL,HORACE HARDING EXP/229 ST,HOMELAWN ST/HIGHLAND AV,UTOPIA PY/76 AV,NASSAU BL/LITTLE NECK PY,UTOPIA PY/69 AV,UTOPIA PY/UNION TP,HORACE HARDING EXP/194 ST,ARCHER AV/SUTPHIN PL,UTOPIA PY/75 AV,HORACE HARDING EXP/207 ST,HOMELAWN ST/173 ST,HORACE HARDING EXP/254 ST,HORACE HARDING EXP/214 ST,HORACE HARDING EXP/211 ST,ARCHER AV /SUTPHIN BL,JAMAICA AV/SUTPHIN BL,UTOPIA PY/80 RD,UTOPIA PY/HORACE HARDING EXP,HORACE HARDING EXP/231 ST,HOMELAWN ST/84 RD,HORACE HARDING EXP/190 ST,UTOPIA PY/67 AV,HORACE HARDING EXP/248 ST,169 ST/JAMAICA AV,HOMELAWN ST/GOTHIC DR,HORACE HARDING EXP/188 ST,HORACE HARDING EXP/246 CR,170 ST/JAMAICA AV,HORACE HARDING EXP/213 ST,DOUGLASTON PY/65 AV,UTOPIA PY/73 AV,JAMAICA AV/150 ST,HORACE HARDING EXP/251 PL,ARCHER AV/149 ST,HORACE HARDING EXP/CLOVERDALE BL,JAMAICA AV/MERRICK BL,W ALLEY RD/233 ST,HORACE HARDING EXP/SPRINGFIELD BL,HORACE HARDING EXP/197 ST,UTOPIA PY/KILDARE RD,HORACE HARDING EXP/PECK AV,169 ST/89 AV,HORACE HARDING EXP/251 ST,HORACE HARDING EXP/MARATHON PY,HILLSIDE AV/HOMELAWN ST,HORACE HARDING EXP/186 ST,HORACE HARDING EXP/202 ST,169 ST/HILLSIDE AV,HORACE HARDING EXP/252 ST,HORACE HARDING EXP/183 ST,HORACE HARDING EXP/185 ST,UTOPIA PY/JEWEL AV,HORACE HARDING EXP/244 ST,HORACE HARDING EXP/246 PL,HORACE HARDING EXP/E HAMPTON BL,56 AV/223 ST,SPRINGFIELD BL/58 AV,SPRINGFIELD BL/56 AV,SPRINGFIELD BL/HORACE HARDING EP N,UTOPIA PY/80 DR,HOMELAWN ST/ASPEN PL,HORACE HARDING EXP/224 ST,58 AV/223 ST,HORACE HARDING EXP/218 ST,HORACE HARDING EXP/FRANCIS LEWIS BL,HOMELAWN ST/CHARLECOTE RIDGE,HOMELAWN ST/CROYDON RD,HORACE HARDING EXP/BELL BL,HORACE HARDING EXP/DOUGLASTON PY,JAMAICA AV/PARSONS BL,UTOPIA PKY/82 AV,DOUGLASTON PY/61 AV,JAMAICA AV/168 ST,HORACE HARDING EXP/OCEANIA ST,College Point Depot (CP)
HORACE HARDING EXP/MARATHON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,
HILLSIDE AV/HOMELAWN ST,,,,,,,0.557 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/186 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/202 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.147 JAMAICA LIRR,,,,,,,,,,
169 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/183 ST,,,,,,,,,,,,,,,,,,,,,,,2.349 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.555 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/185 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/JEWEL AV,,,,,,,,,,2.839 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,2.409 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.509 to depot of Q30
HORACE HARDING EXP/244 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/246 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/E HAMPTON BL,,,,,,0.41 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 AV/223 ST,,,,,,,,,4.211 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.209 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/58 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,0.223 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/56 AV,,,,,,,,,,,,,,,,,3.744 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/HORACE HARDING EP N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.678 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/80 DR,,,,,,,,,,,2.502 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/ASPEN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 LITTLE NECK LITTLE NECK PKY,,,,,,,,
HORACE HARDING EXP/224 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 AV/223 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 JAMAICA LIRR,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/218 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.289 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.659 JAMAICA LIRR,,,,,,,
HORACE HARDING EXP/FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955 LITTLE NECK LITTLE NECK PKY,
