,BRADLEY AV/N GANNON AV,FOREST HILL RD/STEERS ST,HAROLD ST/JOSEPH AV,BRADLEY AV/HOLDEN BL,BRADLEY AV/PURDY AV,VICTORY BL/VAN DUZER ST,MARSH AV/RICHMOND HILL RD,BRADLEY AV/WILLOWBROOK RD,MARSH AV/WINDHAM LOOP,VICTORY BL/ONTARIO AV,BAY ST/BOROUGH PL,VICTORY BL/MELROSE AV,RICHMOND HILL RD/VASSAR ST,BRADLEY AV/HAROLD ST,VICTORY BL/FOREST AV,VICTORY BL/CLOVE RD,ST GEORGE FERRY/S61 & S91,VICTORY BL/JERSEY ST,YUKON AV/KMART DRWY,TRAVIS AV/DENKER PL,VICTORY BL/CEBRA AV,BRADLEY AV/S GANNON AV,TRAVIS AV/LEWISTON ST,VICTORY BL/CHESHIRE PL,MERRYMOUNT ST/SHILOH ST,HAROLD ST/SUNSET AV,PLATINUM AV/TOYS R US,VICTORY BL/GOLF COURSE ENT,VICTORY BL/WOODSTOCK AV,PLATINUM AV/SEARS,VICTORY BL/WESTCOTT BL,MARSH AV/RING RD,VICTORY BL/LABAU AV,VICTORY BL/GRAND AV,VICTORY BL/THERESA PL,FOREST HILL RD/ROCKLAND AV,VICTORY BL/PERRY AV,VICTORY BL/S GREENLEAF AV,TRAVIS AV/BOGOTA ST,BAY ST/CENTRAL AV,VICTORY BL/MONTGOMERY AV,RICHMOND AV/YUKON AV,MARSH AV/ELMWOOD PK DR,YUKON AV/WATCHMANS OFFICE,HAROLD ST/ROOSEVELT AV,VICTORY BL/ BROOK ST,ST GEORGE FERRY/ST GEORGE FERRY,VICTORY BL/BROOK ST,VICTORY BL/MANOR RD,BRADLEY AV/VICTORY BL,TRAVIS AV/NEHRING AV,MARSH AV/WESTPORT ST,VICTORY BL / BAY ST,FOREST HILL RD/STEERS  ST,VICTORY BL/HIGHLAND AV,VICTORY BL/MOUNTAINVIEW AV,VICTORY BL/HODGES PL,TRAVIS AV/EVANS ST,HAROLD ST/BRADLEY AV,VICTORY BL/SILVER MT CEM,VICTORY BL/SILVER LAKE APTS,YUKON AV/RICHMOND AV,VICTORY BL/ALBERT ST,VICTORY BL/EDDY ST,VICTORY BL/CYPRESS AV,VICTORY BL/RENWICK AV,VICTORY BL/LESTER ST,FOREST HILL RD/DOROTHY ST,BRADLEY AV/WESTWOOD AV,MERRYMOUNT ST/TRAVIS AV,INDEPENDENCE AV/PATHMARK,BAY ST/NICK LAPORTE PL,VICTORY BL/JEWETT AV,BAY ST/SLOSSON TE,YUKON AV/KMART DWY,VICTORY BL/AUSTIN PL,FOREST HILL RD/1150 FOREST HILL RD,HAROLD ST/FOREST HILL RD,HAROLD ST/WASHINGTON AV,VICTORY BL/SLOSSON AV,VICTORY BL/TODT HILL RD,VICTORY BL/LITTLE CLOVE RD,FOREST HILL RD/FIELD ST,Yukon Depot (YU)
HAROLD ST/SUNSET AV,,,0.197 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/TOYS R US,,,,,,,,,0.447 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/GOLF COURSE ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/WOODSTOCK AV,,,,,,,,,,,,,,,0.199 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/WESTCOTT BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 S I MALL YUKON AV,,,,,,,,,,,
MARSH AV/RING RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LABAU AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,
VICTORY BL/GRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/THERESA PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,
FOREST HILL RD/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.552 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 ST GEORGE FERRY,
VICTORY BL/PERRY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/S GREENLEAF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAVIS AV/BOGOTA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/CENTRAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MONTGOMERY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,1.159 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,,,,,,,,,0.883 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/WATCHMANS OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 ST GEORGE FERRY,,,,,,,,,
HAROLD ST/ROOSEVELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/ BROOK ST,,,,,,0.253 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,0.831 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/BROOK ST,,,,,,,,,,,,,,,,,,0.331 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MANOR RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 ST GEORGE FERRY,,,
BRADLEY AV/VICTORY BL,,,,,0.214 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAVIS AV/NEHRING AV,,,,,,,,,,,,,,,,,,,,0.255 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 S I MALL YUKON AV,,,,,,,,,,,,,,
