,BROADWAY/W 240 ST,E KINGSBRIDGE RD/E 192 ST,BROADWAY/MOSHOLU AV,BROADWAY/EXTERIOR ST,W KINGSBRIDGE RD/KINGSBRIDGE TER,E 180 ST/CROTONA PY,BROADWAY/W 228 ST,E FORDHAM RD/CAMBERLENG AV,E FORDHAM RD/HOFFMAN ST,BROADWAY/W 242 ST,W 225 ST/BROADWAY,BROADWAY/W 234 ST,W KINGSBRIDGE RD/SEDGWICK AV,BROADWAY/W 231 ST,W KINGSBRIDGE RD/JEROME AV,BROADWAY/W 251 ST,SOUTHERN BL/BRONX PK S,BROADWAY/W 238 ST,BROADWAY/W 260 ST,E 180 ST/BOSTON RD,BROADWAY/W 246 ST,E FORDHAM RD/CAMBRELENG AV,E TREMONT AV/E 177 ST,E FORDHAM RD/3 AV,BROADWAY/TIM HENDRICK PL,W KINGSBRIDGE RD/HEATH AV,W KINGSBRIDGE RD/UNIVERSITY AV,BROADWAY/VAN CORTLANDT PK S,E KINGSBRIDGE RD/E192 ST,E KINGSBRIDGE RD/E FORDHAM RD,SOUTHERN BL/E FORDHAM RD,SOUTHERN BL/E 182 ST,E FORDHAM RD/DECATUR AV,BROADWAY/W 236 ST,W KINGSBRIDGE RD/BAILEY AV,BROADWAY/LAKE VIEW PL,BROADWAY/W 254 ST,SOUTHERN BL/E 189 ST,E FORDHAM RD/BATHGATE AV,SOUTHERN BL/E 183 ST,SOUTHERN BL/E 187 ST,DEVOE AV/LEBANON ST,BROADWAY/KIMBERLY PL,E 180 ST/MOHEGAN AV,E KINGSBRIDGE RD/GRAND CONCOURSE,E 180 ST/DALY AV,BOSTON RD/E 178 ST,BROADWAY/W 262 ST,BOSTON RD/E 180 ST,Kingsbridge Depot (KB)
E FORDHAM RD/BATHGATE AV,,,,,,,,,0.146 WEST FARMS,,,,,,,,,,,,,,,0.31 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 183 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 WEST FARMS,,,,,,,,,0.244 RIVERDALE 262 ST,,,,,,,,,
SOUTHERN BL/E 187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 RIVERDALE 262 ST,,0.244 WEST FARMS,,,,,,,,,,
DEVOE AV/LEBANON ST,,,,,,,,,,,,,,,,,,,,0.276 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/KIMBERLY PL,,,,,,,0.314 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/MOHEGAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786 WEST FARMS,,,,
E KINGSBRIDGE RD/GRAND CONCOURSE,,,,,,,,,,,,,,,0.771 RIVERDALE 262 ST,,,,,,,,,,,,,,0.248 WEST FARMS,,,,,,,,,,,,,,,,,,,,,
E 180 ST/DALY AV,,,,,,0.233 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 WEST FARMS,
BOSTON RD/E 178 ST,,,,,,,,,,,,,,,,,,,,,,,0.327 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 262 ST,,,,,,,,,,,,,,,,,,,0.323 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E 180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 WEST FARMS,,,
Kingsbridge Depot (KB),,,,,,,,,,,0.603 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
