,E 98 ST/HEGEMAN AV,CHURCH AV/BEDFORD AV,HEGEMAN AV/ROCKAWAY AV,14 AV/39 ST,39 ST/2 AV,CHURCH AV/E 42 ST,14 AV/CHURCH AV,CHURCH AV/NEW YORK AV,HEGEMAN AV/THATFORD AV,39 ST/8 AV,39 ST/7 AV,CHURCH AV/ROCKAWAY PY,39 ST/12 AV,CHURCH AV/E 55 ST,CHURCH AV/KINGS HY,CHURCH AV/E 98 ST,39 ST/9 AV,39 ST/FT HAMILTON PY,39 ST/13 AV,CHURCH AV/E 5 ST,CHURCH AV/E 93 ST,CHURCH AV/E 94 ST,39 ST/4 AV,CHURCH AV/WESTMINSTER RD,CHURCH AV/OCEAN AV,CHURCH AV/FLATBUSH AV,CHURCH AV/CHESTER AV,CHURCH AV/E 56 ST,CHURCH AV/OCEAN PY,CHURCH AV/E 52 ST,CHURCH AV/E 96 ST,CHURCH AV/MC DONALD AV,CHURCH AV/STORY ST,CHURCH AV/CONEY ISLAND AV,CHURCH AV/BROOKLYN AV,CHURCH AV/E 38 ST,CHURCH AV/REMSEN AV,39 ST/6 AV,CHURCH AV/E 48 ST,CHURCH AV/E 39 ST,HEGEMAN AV/OSBORN ST,CHURCH AV/RALPH AV,CHURCH AV/E 46 ST,CHURCH AV/UTICA AV,HEGEMAN AV/WATKINS ST,HEGEMAN AV/THOMAS S BOYLAND ST,CHURCH AV/ROGERS AV,CHURCH AV/E 18 ST,39 ST/1 AV,39 ST/3 AV,CHURCH AV/RUGBY RD,39 ST/10 AV,CHURCH AV/NOSTRAND AV,CHURCH AV/TROY AV,CHURCH AV/E 3 ST,13 AV/37 ST,39 ST/5 AV,CHURCH AV/E 7 ST,HEGEMAN AV/CHESTER AV,Jackie Gleason Depot (JG)
HEGEMAN AV/OSBORN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,
CHURCH AV/RALPH AV,,,,,,,,,,,,,,,0.121 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/E 46 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 McDONALD AV via CHURCH AV,,,,,,
CHURCH AV/UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,0.169 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,
HEGEMAN AV/WATKINS ST,,,,,,,,,0.157 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGEMAN AV/THOMAS S BOYLAND ST,,,0.187 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/ROGERS AV,,0.327 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,
CHURCH AV/E 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.193 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 McDONALD AV via CHURCH AV,,,,,,,,,
39 ST/1 AV,,,,,0.229 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,16.633 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,0.758 McDONALD AV via CHURCH AV,,,,,,,,,,,
CHURCH AV/RUGBY RD,,,,,,,,,,,,,,,,,,,,,,,,0.165 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,0.344 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,
39 ST/10 AV,,,,,,,,,,,,,,,,,0.43 McDONALD AV via CHURCH AV,15.195 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/NOSTRAND AV,,,,,,,,0.246 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 McDONALD AV via CHURCH AV,,,,,,,,,,,,,
CHURCH AV/TROY AV,,,,,,0.159 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/E 3 ST,,,,,,,,,,,,,,,,,,,,0.179 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,0.224 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/37 ST,,,,,,,,,,,,,,,,,,,0.158 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,16.77 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,0.308 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/E 7 ST,,,,,,,,,,,,,,,,,,,,0.71 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGEMAN AV/CHESTER AV,0.364 McDONALD AV via CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,0.53 BROWNSVILLE MOTHER GASTON BL via CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
