,SHORE BL/NEPTUNE AV,WEST END AV/ORIENTAL BL,OCEAN AV/AV Y,OCEAN AV/KINGS HY,BEDFORD AV/MONTGOMERY ST,ORIENTAL BL/FALMOUTH ST,ROGERS AV/LENOX RD,BEDFORD AV/DEAN ST,SHEEPSHEAD BAY RD/EMMONS AV,ROGERS AV/EASTERN PY,E 16 ST/SHEEPSHEAD BAY RD,FRANKLIN AV/LEFFERTS PL,OCEAN AV/AV U,OCEAN AV/AV V,ROGERS AV/AV D,BEDFORD AV/STERLING PL,SHORE BL/EMMONS AV,BEDFORD AV/EMPIRE BL,ROGERS AV/ST MARKS AV,BEDFORD AV/WINTHROP ST,OCEAN AV/AV R,ROGERS AV/CHURCH AV,AV Z/E 15 ST,BEDFORD AV/PARKSIDE AV,ORIENTAL BL/DOVER ST,ORIENTAL BL/MACKENZIE ST,OCEAN AV/FARRAGUT RD,BEDFORD AV/LENOX RD,BEDFORD AV/CHURCH AV,BEDFORD AV/LINDEN BL,BEDFORD AV/PRESIDENT ST,BEDFORD AV/CLARENDON RD,BEDFORD AV/ATLANTIC AV,WEST END AV/OCEAN VIEW AV,OCEAN AV/AV X,OCEAN AV/AV T,BEDFORD AV/CLARKSON AV,OCEAN AV/AV L,FOSTER AV/OCEAN AV,ORIENTAL BL/OCEAN AV,ROGERS AV/WINTHROP ST,ROGERS AV/MONTGOMERY ST,OCEAN AV/AV J,OCEAN AV/AV N,ROGERS AV/CLARENDON RD,OCEAN AV/AV Z,BEDFORD AV/BEVERLEY RD,BEDFORD AV/LEFFERTS AV,BEDFORD AV/CARROLL ST,FOSTER AV/FLATBUSH AV,BEDFORD AV/MAPLE ST,ORIENTAL BL/BEAUMONT ST (LTD - DOES NOT STOP),BEDFORD AV/BERGEN ST,AV Z/E 19 ST,SHEEPSHEAD BAY RD/SHORE PKY,ROGERS AV/FOSTER AV,FULTON ST/BEDFORD AV,ROGERS AV/ST JOHNS PL,BEDFORD AV/AV D,OCEAN AV/AV P,DEAN ST/BEDFORD AV,OCEAN AV/AV M,OCEAN AV/AV I,OCEAN AV/GLENWOOD RD,ROGERS AV/CLARKSON AV,BEDFORD AV/EASTERN PY,VOORHIES AV/E 14 ST,BEDFORD AV/ST JOHNS PL,BEDFORD AV/SNYDER AV,SHEEPSHEAD BAY RD/VOORHIES AV,OCEAN AV/FOSTER AV,ORIENTAL BL/BEAUMONT ST,ORIENTAL BL/JAFFRAY ST,E 14 ST/SHEEPSHEAD BAY RD,OCEAN AV/AV W,ROGERS AV/LINDEN BL,ROGERS AV/ALBERMARLE RD,OCEAN AV/AV O,ORIENTAL BL/HASTINGS ST,ROGERS AV/BEVERLEY RD,OCEAN AV/AV S,OCEAN AV/QUENTIN RD,FOSTER AV/E 22 ST,BEDFORD AV/TILDEN AV,ORIENTAL BL/WEST END AV,OCEAN AV/AV K,DEAN ST/FRANKLIN AV,MACENZIE LOOP (LAST STOP),ROGERS AV/CARROLL ST,ROGERS AV/TILDEN AV,ROGERS AV/FENIMORE ST,ORIENTAL BL/KENSINGTON ST,ROGERS AV/LINCOLN RD,BEDFORD AV/PROSPECT PL,WEST END AV/SHORE BL,FRANKLIN AV/ATLANTIC AV,ROGERS AV/MIDWOOD ST,FOSTER AV/BEDFORD AV,EMMONS AV/E 16 ST,AV Z/E 18 ST,ROGERS AV/PARK PL,SHORE PKY NS/SHEEPSHEAD BAY RD,ROGERS AV/PRESIDENT ST,OCEAN AV/AV H,BEDFORD AV/RUTLAND RD,ROGERS AV/EMPIRE BL,WEST END AV/HAMPTON AV,Jackie Gleason Depot (JG)
ROGERS AV/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.579 to depot of B49
BEDFORD AV/EASTERN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.724 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOORHIES AV/E 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.558 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/SNYDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,
SHEEPSHEAD BAY RD/VOORHIES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/FOSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/BEAUMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,0.13 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/JAFFRAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 14 ST/SHEEPSHEAD BAY RD,,,,,,,,,,,,,,,,,,,,,,,0.133 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV W,,,,,,,,,,,,,,0.241 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,0.871 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/LINDEN BL,,,,,,,0.13 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/ALBERMARLE RD,,,,,,,,,,,,,,,,,,,,,,0.321 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,1.019 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/HASTINGS ST,,,,,,0.158 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,
ROGERS AV/BEVERLEY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,
OCEAN AV/AV S,,,,,,,,,,,,,,,,,,,,,1.001 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,0.202 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/QUENTIN RD,,,,0.219 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,0.476 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/E 22 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,0.187 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/TILDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/WEST END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 BED-STUY FULTON ST via OCEAN via ROGERS,
OCEAN AV/AV K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,1.001 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACENZIE LOOP (LAST STOP),,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,
ROGERS AV/TILDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/FENIMORE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,
ORIENTAL BL/KENSINGTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,
ROGERS AV/LINCOLN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 BED-STUY FULTON ST via OCEAN via ROGERS,,
BEDFORD AV/PROSPECT PL,,,,,,,,,,,,,,,,0.201 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST END AV/SHORE BL,,,,,,,,,,,,,,,,,0.125 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/MIDWOOD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,
FOSTER AV/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/E 16 ST,0.212 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/E 18 ST,,,,,,,,,,,0.217 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/PARK PL,,,,,,,,,,,,,,,,,,,0.198 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY NS/SHEEPSHEAD BAY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/PRESIDENT ST,,,,,,,,,,0.036 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.513 MANHATTAN BCH KINGSBORO CC via BEDFORD,1.597 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/RUTLAND RD,,,,,,,,,,,,,,,,,,,,0.257 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/EMPIRE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.027 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST END AV/HAMPTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.157 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
