,BRONX PARK E/BRADY AV,WHITE PLAINS RD/VAN NEST AV,BRONX PARK E/LYDIG AV,CASTLE HILL AV/VIRGIL PL,GOULDEN AV/RESERVOIR AV,BRONX PARK E/PELHAM PY,STARLING AV/UNIONPORT RD,BRONX PK E/UNIONPORT RD,A.B. RYAN OVAL/METROPOLITAN AV,STARLING AV/PURDY ST,E KINGSBRIDGE RD/GRAND CONCOURSE,E FORDHAM RD/3 AV,CASTLE HILL AV/WATSON AV,E KINGSBRIDGE RD/E 192 ST,VALENTINE AV/E FORDHAM RD,E FORDHAM RD/ELM PL,AILEEN RYAN OVAL/METROPOLITAN AV,CASTLE HILL AV/NORTON AV,VALENTINE AV/FORDHAM RD,CASTLE HILL AV/QUIMBY AV,CASTLE HILL AV/LACOMBE AV,CASTLE HILL AV/RANDALL AV,E FORDHAM RD/CAMBERLENG AV,E FORDHAM RD/DECATUR AV,CASTLE HILL AV/BRUCKNER BL,UNIONPORT RD/E TREMONT AV,RESERVOIR AV/W KINGSBRIDGE RD,E FORDHAM RD/HOFFMAN ST,PAUL AV/BEDFORD PK BL,BOSTON RD/PELHAM PKY,CASTLE HILL AV/WESTCHESTER AV,CASTLE HILL AV/HERMANY AV,WHITE PLAINS RD/BIRCHALL AV,W 205 ST/PAUL AV,GOULDEN AV/W 197 ST,WHITE PLAINS RD/MORRIS PK AV,WHITE PLAINS RD/BRONXDALE AV,CASTLE HILL AV/CROSS BX SVC RD N,E FORDHAM RD/SOUTHERN BL,E FORDHAM RD/BATHGATE AV,E KINGSBRIDGE RD/MORRIS AV,UNIONPORT RD/STARLING AV,UNIONPORT RD/GUERLAIN ST,GOULDEN AV/BEDFORD PK BL,E FORDHAM RD/CAMBRELENG AV,WHITE PLAINS RD/RHINELANDER AV,CASTLE HILL AV/TURNBULL AV,CASTLE HILL AV/SEWARD AV,W KINGSBRIDGE RD/JEROME AV,RESERVOIR AV/W 195 ST,CASTLE HILL AV/GLEASON AV,UNIONPORT RD/METROPOLITAN AV,CASTLE HILL AV/CHATTERTON AV,VALENTINE AV/E 192 ST,West Farms Depot (WF)
CASTLE HILL AV/WESTCHESTER AV,,,,,,,,,,0.334 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 CASTLE HILL ZEREGA AV,,,,
CASTLE HILL AV/HERMANY AV,,,,0.394 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/BIRCHALL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,
W 205 ST/PAUL AV,,,,,,,,,,,,,,,,,,,1.991 FORDHAM CENTER VALENTINE AV,,,,,,,,,,0.309 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,
GOULDEN AV/W 197 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/MORRIS PK AV,,0.475 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 FORDHAM CENTER VALENTINE AV,,,,,,,,,4.749 to depot of Bx22
WHITE PLAINS RD/BRONXDALE AV,0.125 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/CROSS BX SVC RD N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 FORDHAM CENTER VALENTINE AV,,0.261 CASTLE HILL ZEREGA AV,,
E FORDHAM RD/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,1.694 FORDHAM CENTER VALENTINE AV,,,,,,,2.261 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/BATHGATE AV,,,,,,,,,,,,0.31 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,0.146 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 FORDHAM CENTER VALENTINE AV,,,,,
UNIONPORT RD/STARLING AV,,,,,,,,,,0.22 CASTLE HILL ZEREGA AV,,,,,,,0.446 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONPORT RD/GUERLAIN ST,,,,,,,,,0.363 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
