,BOSTON RD/ASTOR AV,WHITE PLAINS RD/E 233 ST,NEREID AV/BRUNER AV,WHITE PLAINS RD/E 235 ST,WHITE PLAINS RD/ARNOW AV,SOUNDVIEW AV/CORNELL AV,WHITE PLAINS RD/ROSEWOOD ST,SOUNDVIEW AV/STEPHENS AV,WHITE PLAINS RD/E 231 ST,WHITE PLAINS RD/MAGENTA ST,WHITE PLAINS RD/RHINELANDER AV,WHITE PLAINS RD/WESTCHESTER AV,WHITE PLAINS RD/E 228 ST,WHITE PLAINS RD/LYDIG AV,WHITE PLAINS RD/BRUCKNER BL,WHITE PLAINS RD/STORY AV,WHITE PLAINS RD/VAN NEST AV,WHITE PLAINS RD/WATSON AV,WHITE PLAINS RD/LAFAYETTE AV,WHITE PLAINS RD/MACE AV,WHITE PLAINS RD/GLEASON AV,E 241 ST/CRANFORD AV,WARING AV/WHITE PLAINS RD,WHITE PLAINS RD/NEREID AV,WHITE PLAINS RD/BRONXDALE AV,WHITE PLAINS RD/PELHAM PY,WHITE PLAINS RD/ADEE AV,WHITE PLAINS RD/BIRCHALL AV,WHITE PLAINS RD/ALLERTON AV,SOUNDVIEW AV/GUILDERSLEEVE AV,WHITE PLAINS RD/E 239 ST,WHITE PLAINS RD/WARING AV,WHITE PLAINS RD/ARCHER ST,WHITE PLAINS RD/SEWARD AV,WHITE PLAINS RD/E 237 ST,WHITE PLAINS RD/MORRIS PK AV,WHITE PLAINS RD/E 222 ST,SOUNDVIEW AV/GILDERSLEEVE AV,BRONX PK E/UNIONPORT RD,WHITE PLAINS RD/WOOD AV,WHITE PLAINS RD/E 240 ST,WHITE PLAINS RD/E 215 ST,NEREID AV/BYRON AV,WHITE PLAINS RD/E 225 ST,WHITE PLAINS RD/LACOMBE AV,WHITE PLAINS RD/GUERLAIN ST,NEREID AV/EDSON AV,WHITE PLAINS RD/E GUN HILL RD,WHITE PLAINS RD/BURKE AV,WHITE PLAINS RD/OBRIEN AV,WHITE PLAINS RD/PATTERSON AV,WHITE PLAINS RD/E TREMONT AV,E 241 ST/BAYCHESTER AV,WHITE PLAINS RD/E 219 ST,SOUNDVIEW AV/NEWMAN AV,WHITE PLAINS RD/RANDALL AV,West Farms Depot (WF)
BRONX PK E/UNIONPORT RD,,,,,,,,,,,0.339 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/WOOD AV,,,,,,,,,,,,0.303 CLASON PT,,,,,,,,,,,,,,,,,,,,,0.278 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/E 240 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/E 215 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394 CLASON PT,,,,,,0.668 WAKEFIELD 241 ST via WHITE PLS RD,,,
NEREID AV/BYRON AV,,,0.263 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/E 225 ST,,,,,,,,,,,,,0.254 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,0.232 CLASON PT,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/LACOMBE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 CLASON PT,,,,,,
WHITE PLAINS RD/GUERLAIN ST,,,,,,,,,,,,,,,,,0.436 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/EDSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 WAKEFIELD 241 ST via WHITE PLS RD,,,,
WHITE PLAINS RD/E GUN HILL RD,,,,,,,,,,0.267 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.886 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,
WHITE PLAINS RD/BURKE AV,,,,,,,0.198 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,0.192 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/OBRIEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 CLASON PT,,,,,,,,,,,,,0.236 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,
WHITE PLAINS RD/PATTERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 CLASON PT,,,,,,0.476 WAKEFIELD 241 ST via WHITE PLS RD,
WHITE PLAINS RD/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,
E 241 ST/BAYCHESTER AV,,,,,,,,,,,,,,,,,,,,,,0.353 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/E 219 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 WAKEFIELD 241 ST via WHITE PLS RD,,,,,0.385 CLASON PT,,,,,,,,,,,,,,,
SOUNDVIEW AV/NEWMAN AV,,,,,,0.192 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/RANDALL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,0.25 CLASON PT,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.452 CLASON PT,,,,,,,,,,,,,,,,,,,,,
