,ARTHUR KILL RD/CROSSFIELD AV,FOSTER RD/SINCLAIR AV,EYLENDT ST/ LUTEN AV,ARDEN AV/ARTHUR KILL RD,ARTHUR KILL RD/ST JOHN NEWMANN,HYLAN BL/CORNELIA AV,ARDEN AV/HAMPTON GREEN,LUTEN AV/EYLANDT ST,HYLAN BL/WENDY DR,MARSH AV/ELMWOOD PK DR,FOSTER RD/DRUMGOOLE RD E,RICHMOND AV/PLATINUM AV,WOODROW RD/ALMOND ST,WOODROW RD/ELLSWORTH AV,ARDEN AV/FOREST GREEN,ARTHUR KILL RD/ARDEN AV,WOODROW RD/DESEREE AV,WOODROW RD/FOSTER RD,ARTHUR KILL RD/OPP ASPEN KNOLLS,ARDEN AV/ROLLING HILL GREEN,WOODROW RD/VINELAND AV,SEGUINE AV/SINGLETON ST,MARSH AV/WINDHAM LOOP,ARTHUR KILL RD/1297 ARTHUR KILL RD,FOSTER RD/RAMONA AV,ELTINGVILLE/TRANSIT CENTER,FOSTER RD/DARLINGTON AV,MARSH AV/RING RD,WOODROW RD/DELMAR AV,ARTHUR KILL RD/WOODROW RD,SEGUINE AV/DIRENZO CT,HYLAN BL/SEGUINE AV,HYLAN BL/LUTEN AV,WOODROW RD/HOLCOMB AV,WOODROW RD/CANTON AV,ARTHUR KILL RD/1666 ARTHUR KILL RD,ARDEN AV/CORRELL AV,RICHMOND AV/YUKON AV,WOODROW RD/BOULDER ST,FOSTER RD/WHEELING AV,PLATINUM AV/TOYS R US,ARDEN AV/DOVER GREEN,ARTHUR KILL RD/ANNADALE RD,SEGUINE AV/KNOX ST,ARDEN AV/WOODROW RD,FOSTER RD/AMBOY RD,SEGUINE AV/OSWALD PL,FOSTER RD/ALBOURNE AV,SEGUINE AV/WATERBURY AV,PLATINUM AV/SEARS,FOSTER RD/DRUMGOOLE RD W,SEGUINE AV/JOHANNA LA,ARTHUR KILL RD/1547 ARTHUR KILL RD,FOSTER RD/WOODROW RD,RICHMOND AV/FOREST HILL RD,WOODROW RD/ALVERSON AV,FOSTER RD/RATBURN AV,ARTHUR KILL RD/ARDEN HGHTS SHOP,ARTHUR KILL RD/LADD AV,Charleston Depot (CH)
SEGUINE AV/KNOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 S56 S I MALL,,,,,,,,,,,,,
ARDEN AV/WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 S56 S I MALL,,,,,,,,,,,,
SEGUINE AV/OSWALD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 S56 S I MALL,,,,,,,,,,,
FOSTER RD/ALBOURNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 S56 HUGUENOT LUTEN AV,,,,,,,,,,,0.326 S56 S I MALL,,,,,,,,,
SEGUINE AV/WATERBURY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 S56 S I MALL,,,,,,0.324 S56 HUGUENOT LUTEN AV,,,,,,,,
PLATINUM AV/SEARS,,,,,,,,,,,,0.347 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/DRUMGOOLE RD W,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/JOHANNA LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1547 ARTHUR KILL RD,,,,0.663 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/WOODROW RD,,0.289 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.269 to depot of S56
RICHMOND AV/FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,1.532 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,1.238 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/ALVERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 S56 HUGUENOT LUTEN AV,,,,,,
FOSTER RD/RATBURN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ARDEN HGHTS SHOP,,,,,0.517 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/LADD AV,0.299 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Depot (CH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.028 S56 HUGUENOT LUTEN AV,,,,,,
