,CYPRESS HILL ST/BETH EL CEM N,FOREST AV/PUTNAM AV,FRESH POND RD/68 AV,EUCLID AV/BELMONT AV,WYCKOFF AV/MENAHAN ST,FRESH POND RD/MYRTLE AV,EUCLID AV/SUTTER AV,STANLEY AV/CRESCENT ST,CRESCENT ST/LIBERTY AV,CRESCENT ST/ETNA ST,EUCLID AV/PITKIN AV,COZINE AV/CRESCENT ST,CRESCENT ST/JAMAICA AV,GRANDVIEW AV/GATES AV,67 AV/FRESH POND RD,SEAVIEW AV/ERSKINE ST,ELDERT LA/LORING AV,GATES AV/ST NICHOLAS AV,JAMAICA AV/HEMLOCK ST,EUCLID AV/LINDEN BL,GATES AV/WOODWARD AV,EUCLID AV/LIBERTY AV,POSTAL FACILITY RD/IN FRONT OF FACILITY,FOUNTAIN AV/FLATLANDS AV,FOUNTAIN AV/VANDALIA AV,FRESH POND RD/70 AV,STANLEY AV/AUTUMN AV,LINDEN BL/AUTUMN AV,CRESCENT ST/GLENMORE AV,COOPER AV/65 ST,SUTTER AV/EUCLID AV,CRESCENT ST/COZINE AV,GATEWAY CTR TERM/GATEWAY DR,COOPER AV/CYPRESS HILL ST,FRESH POND RD/CATALPA AV,LINDEN BL/CRESCENT ST,GATES AV/WYCKOFF AV,STANLEY AV/ELDERT LA,ELDERT LA/LINDEN BL,FOREST AV/WOODBINE ST,COOPER AV/62 ST,CRESCENT ST/FULTON ST,PUTNAM AV/FRESH POND RD,WYCKOFF AV/DE KALB AV,FOUNTAIN AV/BKLYN DEVEL CTR,WYCKOFF AV/HARMAN ST,62 ST/MYRTLE AV,61 ST/ST FELIX AV,CRESCENT ST/RIDGEWOOD AV,EUCLID AV/DUMONT AV,WYCKOFF AV/GREENE AV,67 AV/60 ST,CRESCENT ST/WORTMAN AV,STANLEY AV/SHERIDAN AV,GATES AV/FAIRVIEW AV,GATES AV/ONDERDONK AV,GATES AV/CYPRESS AV,COOPER AV/64 LA,COOPER AV/64 ST,CYPRESS HILLS ST/JAMAICA AV,CRESCENT ST/FLATLANDS AV,WYCKOFF AV/BLEECKER ST,JAMAICA AV/CYPRESS HILLS ST,61 ST/75 AV,EUCLID AV/BLAKE AV,WYCKOFF AV/STANHOPE ST,CYPRESS HILL ST/MT NEBOH CEM,LINDEN BL/EUCLID AV,EUCLID AV/GLENMORE AV,PUTNAM AV/FOREST AV,CRESCENT ST/ATLANTIC AV,CYPRESS HILL ST/MACHPELAH CEM N,SUTTER AV/CRESCENT ST,CRESCENT ST/WELDON ST,DE KALB AV/WYCKOFF AV,JAMAICA AV/CRESCENT ST,GATES AV/GRANDVIEW AV,62ND ST/75TH AV,LINDEN BL/SHERIDAN AV,GATEWAY DR/SITE DR,CRESCENT ST/STANLEY AV,COOPER AV/64 PL,GATES AV/SENECA AV,CYPRESS HILL ST/MACHPELAH CEM,CRESCENT ST/MCKINLEY AV,LINDEN BL/ELDERT LA,WYCKOFF AV/GROVE ST,CRESCENT ST/PITKIN AV,CYPRESS HILL ST/CYPRESS AV,Jackie Gleason Depot (JG)
GATEWAY CTR TERM/GATEWAY DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,
COOPER AV/CYPRESS HILL ST,1.769 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/CATALPA AV,,,0.156 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/CRESCENT ST,,,,,,,,,,,,,,,,,,,,0.203 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,0.169 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/WYCKOFF AV,,,,,0.237 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY AV/ELDERT LA,,,,,,,,,,,,,,,,,,,,,,,0.313 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELDERT LA/LINDEN BL,,,,,,,,,,,,,,,,,0.515 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,
FOREST AV/WOODBINE ST,,0.186 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,
COOPER AV/62 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,
CRESCENT ST/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,0.218 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,
PUTNAM AV/FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,
WYCKOFF AV/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,
FOUNTAIN AV/BKLYN DEVEL CTR,,,,,,,,,,,,,,,,0.505 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYCKOFF AV/HARMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62 ST/MYRTLE AV,,,,,,0.103 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61 ST/ST FELIX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.995 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.417 to depot of B13
CRESCENT ST/RIDGEWOOD AV,,,,,,,,,,0.176 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLID AV/DUMONT AV,,,,,,,,,,,,,,,,,,,,0.626 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYCKOFF AV/GREENE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,
67 AV/60 ST,,,,,,,,,,,,,,,0.345 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/WORTMAN AV,,,,,,,,0.175 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,0.189 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY AV/SHERIDAN AV,,,,,,,,,,,,,,,,,0.332 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/FAIRVIEW AV,,,,,,,,,,,,,,0.168 SPRING CREEK GATEWAY MALL,,,,,,,0.152 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/ONDERDONK AV,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,
GATES AV/CYPRESS AV,,,,,,,,,,,,,,,,,,0.152 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 SPRING CREEK GATEWAY MALL,,,,,,,
COOPER AV/64 LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPER AV/64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYPRESS HILLS ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,
CRESCENT ST/FLATLANDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYCKOFF AV/BLEECKER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 SPRING CREEK GATEWAY MALL,,,
JAMAICA AV/CYPRESS HILLS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.889 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,
61 ST/75 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.624 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
