,VICTORY BL/SIGNS RD,VICTORY BL/MANOR RD,VICTORY BL/JEWETT AV,VICTORY BL/SIMMONS LA,VICTORY BL/FOREST AV,VICTORY BL/BRYSON AV,VICTORY BL/GOLLER PL,VICTORY BL/ARLENE ST,VICTORY BL/SILVER LAKE APTS,VICTORY BL/WILD AV,VICTORY BL/CLOVE RD,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/NICK LAPORTE PL,VICTORY BL/FIELDMEYERS LA,VICTORY BL/TRAVIS AV 2,VICTORY BL/ALBERTA AV,VICTORY BL/OPP CON EDISON,VICTORY BL/RICHMOND AV,VICTORY BL/MORANI ST,VICTORY BL/GLEN ST,VICTORY BL/OCONNOR AV,VICTORY BL/BARON BL,VICTORY BL/NEPTUNE PL,VICTORY BL/WILLOWBROOK RD,VICTORY BL/SHENANDOAH AV,VICTORY BL/CANNON AV,VICTORY BL/BURKE AV,VICTORY BL/CRYSTAL AV,VICTORY BL/INGRAM AV,VICTORY BL / BAY ST,BAY ST/BOROUGH PL,VICTORY BL/TRAVIS AV,VICTORY BL/LIVERMORE AV,VICTORY BL/RIDGEWAY AV,VICTORY BL/SPARKS LA,VICTORY BL/SHERADEN AV,ST GEORGE FERRY/S62 & S92,VICTORY BL/3485 VICTORY BL,VICTORY BL/DINSMORE ST,VICTORY BL/CON EDISON,COLLEGE OF SI/ROADWAY ENT,VICTORY BL/FELDMEYERS LA,VICTORY BL/EDDY ST,VICTORY BL/MANN AV,VICTORY BL/WILLOWBROOK PK,VICTORY BL/GRAHAM AV,VICTORY BL/VAN DUZER ST,VICTORY BL/LEROY ST,VICTORY BL/PERRY AV,VICTORY BL/MARTIN AV,VICTORY BL/DECATUR AV,VICTORY BL/LISA PL,VICTORY BL/N GANNON AV,VICTORY BL/3599 VICTORY BL,VICTORY BL/WILLOW RD,Yukon Depot (YU)
VICTORY BL/TRAVIS AV,,,,,,,,,,,,,,,0.0 LIMITED ST GEORGE FERRY,,,,,,,,,,0.184 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LIVERMORE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/RIDGEWAY AV,,,,,,,,,,,,,,,,,,,,,,0.203 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/SPARKS LA,0.2 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/SHERADEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/S62 & S92,,,,,,,,,,,,,0.21 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/3485 VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283 LIMITED TRAVIS via VICTORY,,
VICTORY BL/DINSMORE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 LIMITED ST GEORGE FERRY,,,,
VICTORY BL/CON EDISON,,,,,,,,,,,,,,,,,0.304 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF SI/ROADWAY ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.208 LIMITED TRAVIS via VICTORY,,,,,,,,0.331 LIMITED ST GEORGE FERRY,,,
VICTORY BL/FELDMEYERS LA,,,,,,,,,,,,,,,,0.592 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/EDDY ST,,,,,0.446 LIMITED ST GEORGE FERRY,,,,0.866 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MANN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/WILLOWBROOK PK,,,,,,,,,,,,,,,,,,,0.322 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,1.945 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,
VICTORY BL/GRAHAM AV,0.386 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/VAN DUZER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LEROY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/PERRY AV,,0.646 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MARTIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,
VICTORY BL/DECATUR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LISA PL,,,,,,,,0.19 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/N GANNON AV,,,,,,,,,,,,,,,,,,,,,,,0.108 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/3599 VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/WILLOW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.365 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,4.272 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
