route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BX30,GH_A2-Saturday,GH_A2-Saturday-070000_BX30_552,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-077100_BX30_557,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-085000_BX30_557,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-090600_BX238_620,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-098500_BX238_620,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-104100_BX30_571,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-111700_BX30_571,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-118100_BX30_572,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-124200_BX30_572,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-130100_BX30_572,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-136200_BX30_572,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-043600_BX30_555,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-049400_BX30_555,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-055100_BX30_555,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-061000_BX30_555,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-066600_BX26_504,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-073000_BX26_504,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-078600_BX238_606,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-086500_BX30_552,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-091800_BX30_557,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-100000_BX30_558,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-105600_BX238_620,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-113200_BX238_620,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-045100_BX30_556,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-050900_BX30_556,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-057000_BX30_556,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-063000_BX30_556,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-070200_BX30_551,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-076000_BX30_569,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-083100_BX30_569,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-091000_BX30_569,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-096600_BX30_574,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-104800_BX30_574,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-110100_BX30_577,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-117700_BX30_577,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-123600_BX30_570,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-130200_BX30_570,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-049600_BX30_551,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-055400_BX30_551,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-060900_BX30_553,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-067000_BX30_553,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-072600_BX30_554,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-080500_BX30_554,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-086100_BX238_609,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-094000_BX30_570,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-099600_BX30_572,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-107200_BX30_572,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-114100_BX26_518,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-120700_BX26_518,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-126600_BX26_518,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-131700_BX30_575,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-137000_BX30_575,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-142200_BX30_575,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-067800_BX30_555,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-074500_BX30_559,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-081600_BX30_559,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-089500_BX30_559,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-095400_BX26_504,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-103600_BX30_577,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-108600_BX30_573,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-116200_BX238_638,CO-OP CITY EARHART LANE,0,BX300133
